srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
stttkittstt&ttnevis	nodeid32	IpWildcardIpSpace{ipWildcard=200.2.85.0/24}	unsat	769456	2119304	626084.0	626084.0	626084.0	626.083	626.083	626.083	195.0	GigabitEthernet0/0	3344.0	7610.0
nodeid7	peernodeid12	IpWildcardIpSpace{ipWildcard=200.2.92.0/24}	unsat	510687	1530180	446955.0	446955.0	446955.0	446.955	446.955	446.955	166.0	GigabitEthernet0/0	3344.0	7610.0
dominica	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	399728	1209018	357612.0	357612.0	357612.0	357.612	357.612	357.612	165.0	GigabitEthernet0/0	3344.0	7610.0
nodeid69	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	unsat	1890339	7400329	1397310.0	1397310.0	1397310.0	1397.31	1397.31	1397.31	166.0	GigabitEthernet0/0	3344.0	7610.0
peerstttcroix13	guatemala	IpWildcardIpSpace{ipWildcard=200.2.25.0/24}	unsat	1438690	3006210	1186613.0	1186613.0	1186613.0	1186.613	1186.613	1186.613	154.0	GigabitEthernet0/0	3344.0	7610.0
turksttandttcaicos	bahamas	IpWildcardIpSpace{ipWildcard=200.2.96.0/24}	unsat	595736	1692400	490172.0	490172.0	490172.0	490.172	490.172	490.172	151.0	GigabitEthernet0/0	3344.0	7610.0
peerpanama12	nodeid9	IpWildcardIpSpace{ipWildcard=200.2.69.0/24}	unsat	574319	1722234	467955.0	467955.0	467955.0	467.955	467.955	467.955	155.0	GigabitEthernet0/0	3344.0	7610.0
peernodeid316	nodeid58	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	unsat	267078	912040	217391.0	217391.0	217391.0	217.391	217.391	217.391	160.0	GigabitEthernet0/0	3344.0	7610.0
peerstttvincent15	stttvincent	IpWildcardIpSpace{ipWildcard=200.2.103.0/24}	unsat	0	0	33.0	33.0	33.0	0.032	0.032	0.032	157.0	GigabitEthernet0/0	3344.0	7610.0
peernodeid448	nodeid31	IpWildcardIpSpace{ipWildcard=200.2.77.0/24}	unsat	388928	1147921	292817.0	292817.0	292817.0	292.816	292.816	292.816	205.0	GigabitEthernet0/0	3344.0	7610.0
peerstttcroix13	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	459069	1681603	390581.0	390581.0	390581.0	390.58	390.58	390.58	169.0	GigabitEthernet0/0	3344.0	7610.0
guyana	peernodeid316	IpWildcardIpSpace{ipWildcard=200.2.40.0/24}	unsat	999749	2613578	723762.0	723762.0	723762.0	723.761	723.761	723.761	147.0	GigabitEthernet0/0	3344.0	7610.0
martinique	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	unsat	1106200	2767180	867355.0	867355.0	867355.0	867.355	867.355	867.355	159.0	GigabitEthernet0/0	3344.0	7610.0
venezuela	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	476976	1695554	398276.0	398276.0	398276.0	398.275	398.275	398.275	154.0	GigabitEthernet0/0	3344.0	7610.0
nodeid44	nodeid8	IpWildcardIpSpace{ipWildcard=200.2.65.0/24}	unsat	1014754	2549889	729883.0	729883.0	729883.0	729.882	729.882	729.882	173.0	GigabitEthernet0/0	3344.0	7610.0
turksttandttcaicos	peerstttvincent15	IpWildcardIpSpace{ipWildcard=200.2.106.0/24}	unsat	1175055	2990845	911041.0	911041.0	911041.0	911.04	911.04	911.04	159.0	GigabitEthernet0/0	3344.0	7610.0
suriname	nodeid44	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	unsat	626766	1660589	471510.0	471510.0	471510.0	471.509	471.509	471.509	164.0	GigabitEthernet0/0	3344.0	7610.0
nodeid59	guyana	IpWildcardIpSpace{ipWildcard=200.2.66.0/24}	unsat	1921043	4657472	1531914.0	1531914.0	1531914.0	1531.912	1531.912	1531.912	156.0	GigabitEthernet0/0	3344.0	7610.0
nodeid35	nodeid27	IpWildcardIpSpace{ipWildcard=200.2.81.0/24}	unsat	698101	2528464	626761.0	626761.0	626761.0	626.761	626.761	626.761	162.0	GigabitEthernet0/0	3344.0	7610.0
nodeid24	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	422735	1473193	357737.0	357737.0	357737.0	357.736	357.736	357.736	163.0	GigabitEthernet0/0	3344.0	7610.0
stttvincent	martinique	IpWildcardIpSpace{ipWildcard=200.2.78.0/24}	unsat	1062180	2128420	925897.0	925897.0	925897.0	925.897	925.897	925.897	156.0	GigabitEthernet0/0	3344.0	7610.0
