srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
stttkittstt&ttnevis	nodeid32	IpWildcardIpSpace{ipWildcard=200.2.85.0/24}	unsat	2290	8697	1506.0	1506.0	1506.0	1.505	1.505	1.505	208.0	GigabitEthernet0/0	3268.0	7622.0
nodeid7	peernodeid12	IpWildcardIpSpace{ipWildcard=200.2.92.0/24}	unsat	2064	8061	1387.0	1387.0	1387.0	1.386	1.386	1.386	171.0	GigabitEthernet0/0	3268.0	7622.0
dominica	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	1980	7639	1362.0	1362.0	1362.0	1.361	1.361	1.361	163.0	GigabitEthernet0/0	3268.0	7622.0
nodeid69	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	unsat	2222	8382	1734.0	1734.0	1734.0	1.733	1.733	1.733	158.0	GigabitEthernet0/0	3268.0	7622.0
peerstttcroix13	guatemala	IpWildcardIpSpace{ipWildcard=200.2.25.0/24}	unsat	3306	10137	2421.0	2421.0	2421.0	2.421	2.421	2.421	151.0	GigabitEthernet0/0	3268.0	7622.0
turksttandttcaicos	bahamas	IpWildcardIpSpace{ipWildcard=200.2.96.0/24}	unsat	1927	6099	1112.0	1112.0	1112.0	1.111	1.111	1.111	152.0	GigabitEthernet0/0	3268.0	7622.0
peerpanama12	nodeid9	IpWildcardIpSpace{ipWildcard=200.2.69.0/24}	unsat	1558	5657	1223.0	1223.0	1223.0	1.221	1.221	1.221	150.0	GigabitEthernet0/0	3268.0	7622.0
peernodeid316	nodeid58	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	unsat	1699	6042	1103.0	1103.0	1103.0	1.102	1.102	1.102	148.0	GigabitEthernet0/0	3268.0	7622.0
peerstttvincent15	stttvincent	IpWildcardIpSpace{ipWildcard=200.2.103.0/24}	unsat	0	0	32.0	32.0	32.0	0.03	0.03	0.03	154.0	GigabitEthernet0/0	3268.0	7622.0
peernodeid448	nodeid31	IpWildcardIpSpace{ipWildcard=200.2.77.0/24}	unsat	1424	5954	960.0	960.0	960.0	0.959	0.959	0.959	157.0	GigabitEthernet0/0	3268.0	7622.0
peerstttcroix13	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	2205	7677	1495.0	1495.0	1495.0	1.494	1.494	1.494	154.0	GigabitEthernet0/0	3268.0	7622.0
guyana	peernodeid316	IpWildcardIpSpace{ipWildcard=200.2.40.0/24}	unsat	2593	8814	1920.0	1920.0	1920.0	1.919	1.919	1.919	150.0	GigabitEthernet0/0	3268.0	7622.0
martinique	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	unsat	1872	7235	1207.0	1207.0	1207.0	1.206	1.206	1.206	163.0	GigabitEthernet0/0	3268.0	7622.0
venezuela	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	2192	9850	1580.0	1580.0	1580.0	1.58	1.58	1.58	154.0	GigabitEthernet0/0	3268.0	7622.0
nodeid44	nodeid8	IpWildcardIpSpace{ipWildcard=200.2.65.0/24}	unsat	2335	7514	1418.0	1418.0	1418.0	1.418	1.418	1.418	169.0	GigabitEthernet0/0	3268.0	7622.0
turksttandttcaicos	peerstttvincent15	IpWildcardIpSpace{ipWildcard=200.2.106.0/24}	unsat	2379	8327	1599.0	1599.0	1599.0	1.598	1.598	1.598	156.0	GigabitEthernet0/0	3268.0	7622.0
suriname	nodeid44	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	unsat	1704	6423	1204.0	1204.0	1204.0	1.203	1.203	1.203	160.0	GigabitEthernet0/0	3268.0	7622.0
nodeid59	guyana	IpWildcardIpSpace{ipWildcard=200.2.66.0/24}	unsat	2533	8450	1777.0	1777.0	1777.0	1.776	1.776	1.776	159.0	GigabitEthernet0/0	3268.0	7622.0
nodeid35	nodeid27	IpWildcardIpSpace{ipWildcard=200.2.81.0/24}	unsat	1857	7169	1329.0	1329.0	1329.0	1.329	1.329	1.329	155.0	GigabitEthernet0/0	3268.0	7622.0
nodeid24	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	1760	7621	1249.0	1249.0	1249.0	1.249	1.249	1.249	162.0	GigabitEthernet0/0	3268.0	7622.0
stttvincent	martinique	IpWildcardIpSpace{ipWildcard=200.2.78.0/24}	unsat	2041	7075	1423.0	1423.0	1423.0	1.422	1.422	1.422	158.0	GigabitEthernet0/0	3268.0	7622.0
nodeid44	nodeid7	IpWildcardIpSpace{ipWildcard=200.2.52.0/24}	unsat	1903	6788	1189.0	1189.0	1189.0	1.188	1.188	1.188	159.0	GigabitEthernet0/0	3268.0	7622.0
stttkittstt&ttnevis	peerstttmartin14	IpWildcardIpSpace{ipWildcard=200.2.70.0/24}	unsat	2038	7855	1513.0	1513.0	1513.0	1.513	1.513	1.513	174.0	GigabitEthernet0/0	3268.0	7622.0
stttcroix	mexico	IpWildcardIpSpace{ipWildcard=200.2.107.0/24}	unsat	2226	8511	1531.0	1531.0	1531.0	1.531	1.531	1.531	159.0	GigabitEthernet0/0	3268.0	7622.0
nodeid26	nodeid29	IpWildcardIpSpace{ipWildcard=200.2.50.0/24}	unsat	2015	8458	1489.0	1489.0	1489.0	1.489	1.489	1.489	158.0	GigabitEthernet0/0	3268.0	7622.0
curacao	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	unsat	2415	7619	1639.0	1639.0	1639.0	1.638	1.638	1.638	166.0	GigabitEthernet0/0	3268.0	7622.0
nodeid37	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	unsat	1678	6485	1218.0	1218.0	1218.0	1.216	1.216	1.216	157.0	GigabitEthernet0/0	3268.0	7622.0
peercuracao0	nodeid63	IpWildcardIpSpace{ipWildcard=200.2.28.0/24}	unsat	2114	8889	1609.0	1609.0	1609.0	1.609	1.609	1.609	157.0	GigabitEthernet0/0	3268.0	7622.0
nodeid32	nodeid17	IpWildcardIpSpace{ipWildcard=200.2.42.0/24}	unsat	1595	5316	919.0	919.0	919.0	0.919	0.919	0.919	157.0	GigabitEthernet0/0	3268.0	7622.0
nodeid60	stttkittstt&ttnevis	IpWildcardIpSpace{ipWildcard=200.2.58.0/24}	unsat	2060	7533	1503.0	1503.0	1503.0	1.503	1.503	1.503	155.0	GigabitEthernet0/0	3268.0	7622.0
