srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
stttkittstt&ttnevis	nodeid32	IpWildcardIpSpace{ipWildcard=200.2.85.0/24}	unsat	142306	183456	165325.0	165325.0	165325.0	165.325	165.325	165.325	182.0	GigabitEthernet0/0	3344.0	7610.0
nodeid7	peernodeid12	IpWildcardIpSpace{ipWildcard=200.2.92.0/24}	unsat	158208	200215	182038.0	182038.0	182038.0	182.038	182.038	182.038	163.0	GigabitEthernet0/0	3344.0	7610.0
dominica	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	99928	132374	123168.0	123168.0	123168.0	123.167	123.167	123.167	166.0	GigabitEthernet0/0	3344.0	7610.0
nodeid69	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	unsat	274396	345547	303005.0	303005.0	303005.0	303.005	303.005	303.005	159.0	GigabitEthernet0/0	3344.0	7610.0
peerstttcroix13	guatemala	IpWildcardIpSpace{ipWildcard=200.2.25.0/24}	unsat	174294	220120	213469.0	213469.0	213469.0	213.468	213.468	213.468	159.0	GigabitEthernet0/0	3344.0	7610.0
turksttandttcaicos	bahamas	IpWildcardIpSpace{ipWildcard=200.2.96.0/24}	unsat	158132	199009	175466.0	175466.0	175466.0	175.465	175.465	175.465	157.0	GigabitEthernet0/0	3344.0	7610.0
peerpanama12	nodeid9	IpWildcardIpSpace{ipWildcard=200.2.69.0/24}	unsat	99190	132028	115819.0	115819.0	115819.0	115.818	115.818	115.818	160.0	GigabitEthernet0/0	3344.0	7610.0
peernodeid316	nodeid58	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	unsat	81309	114084	78226.0	78226.0	78226.0	78.226	78.226	78.226	154.0	GigabitEthernet0/0	3344.0	7610.0
peerstttvincent15	stttvincent	IpWildcardIpSpace{ipWildcard=200.2.103.0/24}	unsat	0	0	34.0	34.0	34.0	0.033	0.033	0.033	166.0	GigabitEthernet0/0	3344.0	7610.0
peernodeid448	nodeid31	IpWildcardIpSpace{ipWildcard=200.2.77.0/24}	unsat	24175	43842	19745.0	19745.0	19745.0	19.744	19.744	19.744	160.0	GigabitEthernet0/0	3344.0	7610.0
peerstttcroix13	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	73333	101647	81932.0	81932.0	81932.0	81.931	81.931	81.931	161.0	GigabitEthernet0/0	3344.0	7610.0
guyana	peernodeid316	IpWildcardIpSpace{ipWildcard=200.2.40.0/24}	unsat	190218	241160	234719.0	234719.0	234719.0	234.718	234.718	234.718	151.0	GigabitEthernet0/0	3344.0	7610.0
martinique	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	unsat	108463	146623	131664.0	131664.0	131664.0	131.663	131.663	131.663	162.0	GigabitEthernet0/0	3344.0	7610.0
venezuela	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	99258	139358	112062.0	112062.0	112062.0	112.061	112.061	112.061	173.0	GigabitEthernet0/0	3344.0	7610.0
nodeid44	nodeid8	IpWildcardIpSpace{ipWildcard=200.2.65.0/24}	unsat	139905	183816	146342.0	146342.0	146342.0	146.341	146.341	146.341	171.0	GigabitEthernet0/0	3344.0	7610.0
turksttandttcaicos	peerstttvincent15	IpWildcardIpSpace{ipWildcard=200.2.106.0/24}	unsat	169506	212282	195926.0	195926.0	195926.0	195.925	195.925	195.925	157.0	GigabitEthernet0/0	3344.0	7610.0
suriname	nodeid44	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	unsat	155207	205884	184323.0	184323.0	184323.0	184.322	184.322	184.322	167.0	GigabitEthernet0/0	3344.0	7610.0
nodeid59	guyana	IpWildcardIpSpace{ipWildcard=200.2.66.0/24}	unsat	265299	330245	294158.0	294158.0	294158.0	294.157	294.157	294.157	159.0	GigabitEthernet0/0	3344.0	7610.0
nodeid35	nodeid27	IpWildcardIpSpace{ipWildcard=200.2.81.0/24}	unsat	132952	177590	157194.0	157194.0	157194.0	157.193	157.193	157.193	162.0	GigabitEthernet0/0	3344.0	7610.0
nodeid24	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	92813	133108	103154.0	103154.0	103154.0	103.154	103.154	103.154	165.0	GigabitEthernet0/0	3344.0	7610.0
stttvincent	martinique	IpWildcardIpSpace{ipWildcard=200.2.78.0/24}	unsat	114601	153595	117547.0	117547.0	117547.0	117.546	117.546	117.546	160.0	GigabitEthernet0/0	3344.0	7610.0
nodeid44	nodeid7	IpWildcardIpSpace{ipWildcard=200.2.52.0/24}	unsat	45588	69260	41797.0	41797.0	41797.0	41.796	41.796	41.796	162.0	GigabitEthernet0/0	3344.0	7610.0
stttkittstt&ttnevis	peerstttmartin14	IpWildcardIpSpace{ipWildcard=200.2.70.0/24}	unsat	111157	148294	119665.0	119665.0	119665.0	119.664	119.664	119.664	161.0	GigabitEthernet0/0	3344.0	7610.0
stttcroix	mexico	IpWildcardIpSpace{ipWildcard=200.2.107.0/24}	unsat	212129	276744	242341.0	242341.0	242341.0	242.341	242.341	242.341	162.0	GigabitEthernet0/0	3344.0	7610.0
nodeid26	nodeid29	IpWildcardIpSpace{ipWildcard=200.2.50.0/24}	unsat	130651	175080	156876.0	156876.0	156876.0	156.875	156.875	156.875	162.0	GigabitEthernet0/0	3344.0	7610.0
curacao	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	unsat	113007	151607	131778.0	131778.0	131778.0	131.777	131.777	131.777	166.0	GigabitEthernet0/0	3344.0	7610.0
nodeid37	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	unsat	130465	169436	154442.0	154442.0	154442.0	154.442	154.442	154.442	161.0	GigabitEthernet0/0	3344.0	7610.0
peercuracao0	nodeid63	IpWildcardIpSpace{ipWildcard=200.2.28.0/24}	unsat	204634	267342	236055.0	236055.0	236055.0	236.055	236.055	236.055	161.0	GigabitEthernet0/0	3344.0	7610.0
nodeid32	nodeid17	IpWildcardIpSpace{ipWildcard=200.2.42.0/24}	unsat	87680	118179	83223.0	83223.0	83223.0	83.223	83.223	83.223	159.0	GigabitEthernet0/0	3344.0	7610.0
nodeid60	stttkittstt&ttnevis	IpWildcardIpSpace{ipWildcard=200.2.58.0/24}	unsat	315273	394374	381036.0	381036.0	381036.0	381.035	381.035	381.035	161.0	GigabitEthernet0/0	3344.0	7610.0
nodeid41	peerstttvincent15	IpWildcardIpSpace{ipWildcard=200.2.106.0/24}	unsat	179508	234722	190322.0	190322.0	190322.0	190.322	190.322	190.322	158.0	GigabitEthernet0/0	3344.0	7610.0
peernodeid134	belize	IpWildcardIpSpace{ipWildcard=200.2.105.0/24}	unsat	108919	146431	106485.0	106485.0	106485.0	106.484	106.484	106.484	236.0	GigabitEthernet0/0	3344.0	7610.0
peernodeid134	nodeid29	IpWildcardIpSpace{ipWildcard=200.2.50.0/24}	unsat	76792	108650	87969.0	87969.0	87969.0	87.969	87.969	87.969	159.0	GigabitEthernet0/0	3344.0	7610.0
nodeid26	dominica	IpWildcardIpSpace{ipWildcard=200.2.87.0/24}	unsat	286076	362340	315980.0	315980.0	315980.0	315.979	315.979	315.979	160.0	GigabitEthernet0/0	3344.0	7610.0
stttkittstt&ttnevis	nodeid15	IpWildcardIpSpace{ipWildcard=200.2.49.0/24}	unsat	145037	191218	162206.0	162206.0	162206.0	162.205	162.205	162.205	159.0	GigabitEthernet0/0	3344.0	7610.0
nodeid7	nodeid37	IpWildcardIpSpace{ipWildcard=200.2.68.0/24}	unsat	173267	220717	214233.0	214233.0	214233.0	214.232	214.232	214.232	158.0	GigabitEthernet0/0	3344.0	7610.0
nodeid45	stttcroix	IpWildcardIpSpace{ipWildcard=200.2.84.0/24}	unsat	237450	306599	272905.0	272905.0	272905.0	272.904	272.904	272.904	165.0	GigabitEthernet0/0	3344.0	7610.0
peernodeid134	bonaire	IpWildcardIpSpace{ipWildcard=200.2.95.0/24}	unsat	144511	190807	164639.0	164639.0	164639.0	164.638	164.638	164.638	158.0	GigabitEthernet0/0	3344.0	7610.0
suriname	peerstttcroix13	IpWildcardIpSpace{ipWildcard=200.2.102.0/24}	unsat	140600	180840	141118.0	141118.0	141118.0	141.117	141.117	141.117	153.0	GigabitEthernet0/0	3344.0	7610.0
nodeid50	nodeid8	IpWildcardIpSpace{ipWildcard=200.2.65.0/24}	unsat	109811	144720	114310.0	114310.0	114310.0	114.309	114.309	114.309	166.0	GigabitEthernet0/0	3344.0	7610.0
nodeid62	jamaica	IpWildcardIpSpace{ipWildcard=200.2.29.0/24}	unsat	93279	127367	105133.0	105133.0	105133.0	105.132	105.132	105.132	157.0	GigabitEthernet0/0	3344.0	7610.0
costattrica	nodeid17	IpWildcardIpSpace{ipWildcard=200.2.42.0/24}	unsat	102694	135756	105398.0	105398.0	105398.0	105.398	105.398	105.398	163.0	GigabitEthernet0/0	3344.0	7610.0
belize	nodeid46	IpWildcardIpSpace{ipWildcard=200.2.99.0/24}	unsat	147019	191574	171503.0	171503.0	171503.0	171.503	171.503	171.503	162.0	GigabitEthernet0/0	3344.0	7610.0
bonaire	curacao	IpWildcardIpSpace{ipWildcard=200.2.37.0/24}	unsat	0	0	33.0	33.0	33.0	0.032	0.032	0.032	163.0	GigabitEthernet0/0	3344.0	7610.0
peernodeid397	trinidadttandtttobago	IpWildcardIpSpace{ipWildcard=200.2.47.0/24}	unsat	167976	210862	177924.0	177924.0	177924.0	177.923	177.923	177.923	191.0	GigabitEthernet0/0	3344.0	7610.0
nodeid35	jamaica	IpWildcardIpSpace{ipWildcard=200.2.29.0/24}	unsat	152478	199855	188945.0	188945.0	188945.0	188.945	188.945	188.945	165.0	GigabitEthernet0/0	3344.0	7610.0
venezuela	peerstttmartin14	IpWildcardIpSpace{ipWildcard=200.2.70.0/24}	unsat	124956	165577	155084.0	155084.0	155084.0	155.083	155.083	155.083	153.0	GigabitEthernet0/0	3344.0	7610.0
peercuracao0	peerstttvincent15	IpWildcardIpSpace{ipWildcard=200.2.106.0/24}	unsat	130180	168040	149907.0	149907.0	149907.0	149.906	149.906	149.906	162.0	GigabitEthernet0/0	3344.0	7610.0
peerstttcroix13	peernodeid448	IpWildcardIpSpace{ipWildcard=200.2.23.0/24}	unsat	129517	173070	153633.0	153633.0	153633.0	153.632	153.632	153.632	180.0	GigabitEthernet0/0	3344.0	7610.0
peerdominicanttrepublic1	puertottrico	IpWildcardIpSpace{ipWildcard=200.2.63.0/24}	unsat	59990	89035	61527.0	61527.0	61527.0	61.526	61.526	61.526	181.0	GigabitEthernet0/0	3344.0	7610.0
