srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
stttkittstt&ttnevis	nodeid32	IpWildcardIpSpace{ipWildcard=200.2.85.0/24}	sat	26	228	243.0	243.0	243.0	0.242	0.242	0.242	168.0	GigabitEthernet0/0	3268.0	7622.0
nodeid7	peernodeid12	IpWildcardIpSpace{ipWildcard=200.2.92.0/24}	sat	462	3319	746.0	746.0	746.0	0.745	0.745	0.745	166.0	GigabitEthernet0/0	3268.0	7622.0
dominica	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	4	98	224.0	224.0	224.0	0.223	0.223	0.223	166.0	GigabitEthernet0/0	3268.0	7622.0
nodeid69	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	sat	1240	5402	1387.0	1387.0	1387.0	1.386	1.386	1.386	155.0	GigabitEthernet0/0	3268.0	7622.0
peerstttcroix13	guatemala	IpWildcardIpSpace{ipWildcard=200.2.25.0/24}	sat	21	214	259.0	259.0	259.0	0.258	0.258	0.258	150.0	GigabitEthernet0/0	3268.0	7622.0
turksttandttcaicos	bahamas	IpWildcardIpSpace{ipWildcard=200.2.96.0/24}	sat	531	3093	666.0	666.0	666.0	0.666	0.666	0.666	156.0	GigabitEthernet0/0	3268.0	7622.0
peerpanama12	nodeid9	IpWildcardIpSpace{ipWildcard=200.2.69.0/24}	sat	4	93	224.0	224.0	224.0	0.224	0.224	0.224	155.0	GigabitEthernet0/0	3268.0	7622.0
peernodeid316	nodeid58	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	sat	14	193	244.0	244.0	244.0	0.243	0.243	0.243	168.0	GigabitEthernet0/0	3268.0	7622.0
peerstttvincent15	stttvincent	IpWildcardIpSpace{ipWildcard=200.2.103.0/24}	sat	10	119	247.0	247.0	247.0	0.246	0.246	0.246	157.0	GigabitEthernet0/0	3268.0	7622.0
peernodeid448	nodeid31	IpWildcardIpSpace{ipWildcard=200.2.77.0/24}	sat	115	945	372.0	372.0	372.0	0.371	0.371	0.371	155.0	GigabitEthernet0/0	3268.0	7622.0
peerstttcroix13	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	4	96	224.0	224.0	224.0	0.224	0.224	0.224	155.0	GigabitEthernet0/0	3268.0	7622.0
guyana	peernodeid316	IpWildcardIpSpace{ipWildcard=200.2.40.0/24}	sat	1655	6023	1523.0	1523.0	1523.0	1.522	1.522	1.522	169.0	GigabitEthernet0/0	3268.0	7622.0
martinique	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	sat	1560	4901	1398.0	1398.0	1398.0	1.397	1.397	1.397	162.0	GigabitEthernet0/0	3268.0	7622.0
venezuela	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	8	214	249.0	249.0	249.0	0.248	0.248	0.248	161.0	GigabitEthernet0/0	3268.0	7622.0
nodeid44	nodeid8	IpWildcardIpSpace{ipWildcard=200.2.65.0/24}	sat	17	211	244.0	244.0	244.0	0.243	0.243	0.243	171.0	GigabitEthernet0/0	3268.0	7622.0
turksttandttcaicos	peerstttvincent15	IpWildcardIpSpace{ipWildcard=200.2.106.0/24}	sat	1405	6503	1559.0	1559.0	1559.0	1.559	1.559	1.559	159.0	GigabitEthernet0/0	3268.0	7622.0
suriname	nodeid44	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	sat	10	145	262.0	262.0	262.0	0.261	0.261	0.261	160.0	GigabitEthernet0/0	3268.0	7622.0
nodeid59	guyana	IpWildcardIpSpace{ipWildcard=200.2.66.0/24}	sat	14	135	244.0	244.0	244.0	0.243	0.243	0.243	159.0	GigabitEthernet0/0	3268.0	7622.0
nodeid35	nodeid27	IpWildcardIpSpace{ipWildcard=200.2.81.0/24}	sat	8	116	235.0	235.0	235.0	0.234	0.234	0.234	159.0	GigabitEthernet0/0	3268.0	7622.0
nodeid24	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	4	96	230.0	230.0	230.0	0.229	0.229	0.229	163.0	GigabitEthernet0/0	3268.0	7622.0
stttvincent	martinique	IpWildcardIpSpace{ipWildcard=200.2.78.0/24}	sat	24	202	263.0	263.0	263.0	0.262	0.262	0.262	157.0	GigabitEthernet0/0	3268.0	7622.0
nodeid44	nodeid7	IpWildcardIpSpace{ipWildcard=200.2.52.0/24}	sat	10	135	256.0	256.0	256.0	0.255	0.255	0.255	177.0	GigabitEthernet0/0	3268.0	7622.0
stttkittstt&ttnevis	peerstttmartin14	IpWildcardIpSpace{ipWildcard=200.2.70.0/24}	sat	1427	6600	1573.0	1573.0	1573.0	1.572	1.572	1.572	158.0	GigabitEthernet0/0	3268.0	7622.0
stttcroix	mexico	IpWildcardIpSpace{ipWildcard=200.2.107.0/24}	sat	87	629	336.0	336.0	336.0	0.335	0.335	0.335	154.0	GigabitEthernet0/0	3268.0	7622.0
nodeid26	nodeid29	IpWildcardIpSpace{ipWildcard=200.2.50.0/24}	sat	25	181	248.0	248.0	248.0	0.247	0.247	0.247	160.0	GigabitEthernet0/0	3268.0	7622.0
curacao	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	sat	791	2375	798.0	798.0	798.0	0.797	0.797	0.797	161.0	GigabitEthernet0/0	3268.0	7622.0
nodeid37	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	sat	1174	5751	1424.0	1424.0	1424.0	1.423	1.423	1.423	157.0	GigabitEthernet0/0	3268.0	7622.0
peercuracao0	nodeid63	IpWildcardIpSpace{ipWildcard=200.2.28.0/24}	sat	68	493	302.0	302.0	302.0	0.301	0.301	0.301	157.0	GigabitEthernet0/0	3268.0	7622.0
nodeid32	nodeid17	IpWildcardIpSpace{ipWildcard=200.2.42.0/24}	sat	8	158	240.0	240.0	240.0	0.24	0.24	0.24	157.0	GigabitEthernet0/0	3268.0	7622.0
nodeid60	stttkittstt&ttnevis	IpWildcardIpSpace{ipWildcard=200.2.58.0/24}	sat	53	310	274.0	274.0	274.0	0.273	0.273	0.273	155.0	GigabitEthernet0/0	3268.0	7622.0
nodeid41	peerstttvincent15	IpWildcardIpSpace{ipWildcard=200.2.106.0/24}	sat	1451	6109	1460.0	1460.0	1460.0	1.459	1.459	1.459	156.0	GigabitEthernet0/0	3268.0	7622.0
peernodeid134	belize	IpWildcardIpSpace{ipWildcard=200.2.105.0/24}	sat	17	134	246.0	246.0	246.0	0.244	0.244	0.244	157.0	GigabitEthernet0/0	3268.0	7622.0
peernodeid134	nodeid29	IpWildcardIpSpace{ipWildcard=200.2.50.0/24}	sat	22	163	246.0	246.0	246.0	0.245	0.245	0.245	158.0	GigabitEthernet0/0	3268.0	7622.0
nodeid26	dominica	IpWildcardIpSpace{ipWildcard=200.2.87.0/24}	sat	16	110	238.0	238.0	238.0	0.238	0.238	0.238	155.0	GigabitEthernet0/0	3268.0	7622.0
stttkittstt&ttnevis	nodeid15	IpWildcardIpSpace{ipWildcard=200.2.49.0/24}	sat	198	931	380.0	380.0	380.0	0.38	0.38	0.38	154.0	GigabitEthernet0/0	3268.0	7622.0
nodeid7	nodeid37	IpWildcardIpSpace{ipWildcard=200.2.68.0/24}	sat	278	1942	509.0	509.0	509.0	0.508	0.508	0.508	153.0	GigabitEthernet0/0	3268.0	7622.0
nodeid45	stttcroix	IpWildcardIpSpace{ipWildcard=200.2.84.0/24}	sat	14	228	279.0	279.0	279.0	0.278	0.278	0.278	162.0	GigabitEthernet0/0	3268.0	7622.0
peernodeid134	bonaire	IpWildcardIpSpace{ipWildcard=200.2.95.0/24}	sat	17	150	242.0	242.0	242.0	0.241	0.241	0.241	152.0	GigabitEthernet0/0	3268.0	7622.0
suriname	peerstttcroix13	IpWildcardIpSpace{ipWildcard=200.2.102.0/24}	sat	1048	5729	1342.0	1342.0	1342.0	1.341	1.341	1.341	160.0	GigabitEthernet0/0	3268.0	7622.0
nodeid50	nodeid8	IpWildcardIpSpace{ipWildcard=200.2.65.0/24}	sat	26	251	263.0	263.0	263.0	0.262	0.262	0.262	168.0	GigabitEthernet0/0	3268.0	7622.0
nodeid62	jamaica	IpWildcardIpSpace{ipWildcard=200.2.29.0/24}	sat	16	218	260.0	260.0	260.0	0.26	0.26	0.26	160.0	GigabitEthernet0/0	3268.0	7622.0
costattrica	nodeid17	IpWildcardIpSpace{ipWildcard=200.2.42.0/24}	sat	10	167	250.0	250.0	250.0	0.249	0.249	0.249	164.0	GigabitEthernet0/0	3268.0	7622.0
belize	nodeid46	IpWildcardIpSpace{ipWildcard=200.2.99.0/24}	sat	15	150	270.0	270.0	270.0	0.269	0.269	0.269	159.0	GigabitEthernet0/0	3268.0	7622.0
bonaire	curacao	IpWildcardIpSpace{ipWildcard=200.2.37.0/24}	sat	12	138	258.0	258.0	258.0	0.257	0.257	0.257	161.0	GigabitEthernet0/0	3268.0	7622.0
