srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
stttkittstt&ttnevis	nodeid32	IpWildcardIpSpace{ipWildcard=200.2.85.0/24}	sat	238	5247	347.0	347.0	347.0	0.345	0.345	0.345	166.0	GigabitEthernet0/0	3344.0	7610.0
nodeid7	peernodeid12	IpWildcardIpSpace{ipWildcard=200.2.92.0/24}	sat	2022	12459	1392.0	1392.0	1392.0	1.391	1.391	1.391	152.0	GigabitEthernet0/0	3344.0	7610.0
dominica	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	3624	17516	2775.0	2775.0	2775.0	2.775	2.775	2.775	161.0	GigabitEthernet0/0	3344.0	7610.0
nodeid69	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	sat	1031	10418	909.0	909.0	909.0	0.909	0.909	0.909	159.0	GigabitEthernet0/0	3344.0	7610.0
peerstttcroix13	guatemala	IpWildcardIpSpace{ipWildcard=200.2.25.0/24}	sat	1888	11361	1240.0	1240.0	1240.0	1.239	1.239	1.239	155.0	GigabitEthernet0/0	3344.0	7610.0
turksttandttcaicos	bahamas	IpWildcardIpSpace{ipWildcard=200.2.96.0/24}	sat	571	6934	476.0	476.0	476.0	0.475	0.475	0.475	156.0	GigabitEthernet0/0	3344.0	7610.0
peerpanama12	nodeid9	IpWildcardIpSpace{ipWildcard=200.2.69.0/24}	sat	2364	15692	1675.0	1675.0	1675.0	1.674	1.674	1.674	162.0	GigabitEthernet0/0	3344.0	7610.0
peernodeid316	nodeid58	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	sat	2198	11041	1466.0	1466.0	1466.0	1.466	1.466	1.466	161.0	GigabitEthernet0/0	3344.0	7610.0
peerstttvincent15	stttvincent	IpWildcardIpSpace{ipWildcard=200.2.103.0/24}	sat	3524	15573	2514.0	2514.0	2514.0	2.513	2.513	2.513	165.0	GigabitEthernet0/0	3344.0	7610.0
peernodeid448	nodeid31	IpWildcardIpSpace{ipWildcard=200.2.77.0/24}	sat	2941	15077	1991.0	1991.0	1991.0	1.991	1.991	1.991	163.0	GigabitEthernet0/0	3344.0	7610.0
peerstttcroix13	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	1753	9232	1152.0	1152.0	1152.0	1.151	1.151	1.151	158.0	GigabitEthernet0/0	3344.0	7610.0
guyana	peernodeid316	IpWildcardIpSpace{ipWildcard=200.2.40.0/24}	sat	540	4735	575.0	575.0	575.0	0.574	0.574	0.574	151.0	GigabitEthernet0/0	3344.0	7610.0
martinique	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	sat	526	6183	511.0	511.0	511.0	0.51	0.51	0.51	157.0	GigabitEthernet0/0	3344.0	7610.0
venezuela	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	982	8957	831.0	831.0	831.0	0.83	0.83	0.83	172.0	GigabitEthernet0/0	3344.0	7610.0
nodeid44	nodeid8	IpWildcardIpSpace{ipWildcard=200.2.65.0/24}	sat	2119	11456	1623.0	1623.0	1623.0	1.622	1.622	1.622	164.0	GigabitEthernet0/0	3344.0	7610.0
turksttandttcaicos	peerstttvincent15	IpWildcardIpSpace{ipWildcard=200.2.106.0/24}	sat	28	247	231.0	231.0	231.0	0.23	0.23	0.23	159.0	GigabitEthernet0/0	3344.0	7610.0
suriname	nodeid44	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	sat	3018	14054	2382.0	2382.0	2382.0	2.381	2.381	2.381	165.0	GigabitEthernet0/0	3344.0	7610.0
