srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
au	pacwave	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	unsat	336	1984	398.0	398.0	398.0	0.396	0.396	0.396	277.0	GigabitEthernet0/0	2629.0	6150.0
wash	auid66	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	473	2499	443.0	443.0	443.0	0.443	0.443	0.443	157.0	GigabitEthernet0/0	2629.0	6150.0
abilene	sunn	IpWildcardIpSpace{ipWildcard=200.0.66.0/24}	unsat	0	0	28.0	28.0	28.0	0.027	0.027	0.027	172.0	GigabitEthernet0/0	2629.0	6150.0
nodeid40	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	543	2909	473.0	473.0	473.0	0.472	0.472	0.472	145.0	GigabitEthernet0/0	2629.0	6150.0
ga	geant	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	466	2186	390.0	390.0	390.0	0.389	0.389	0.389	135.0	GigabitEthernet0/0	2629.0	6150.0
pacwave	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	unsat	425	2283	411.0	411.0	411.0	0.41	0.41	0.41	140.0	GigabitEthernet0/0	2629.0	6150.0
yuccattmt	doe	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	518	2517	439.0	439.0	439.0	0.438	0.438	0.438	141.0	GigabitEthernet0/0	2629.0	6150.0
pppl	jlab	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	unsat	601	2183	370.0	370.0	370.0	0.369	0.369	0.369	143.0	GigabitEthernet0/0	2629.0	6150.0
nnsa	lanl	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	436	2412	443.0	443.0	443.0	0.442	0.442	0.442	148.0	GigabitEthernet0/0	2629.0	6150.0
yuccattmt	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	460	2273	375.0	375.0	375.0	0.373	0.373	0.373	158.0	GigabitEthernet0/0	2629.0	6150.0
au	osti	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	502	2368	395.0	395.0	395.0	0.394	0.394	0.394	146.0	GigabitEthernet0/0	2629.0	6150.0
ligo	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	694	3018	481.0	481.0	481.0	0.481	0.481	0.481	153.0	GigabitEthernet0/0	2629.0	6150.0
sinet	sea	IpWildcardIpSpace{ipWildcard=200.0.60.0/24}	unsat	696	3184	485.0	485.0	485.0	0.485	0.485	0.485	153.0	GigabitEthernet0/0	2629.0	6150.0
inl	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	unsat	421	2274	386.0	386.0	386.0	0.385	0.385	0.385	130.0	GigabitEthernet0/0	2629.0	6150.0
nrel	equinixid53	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	unsat	590	2526	396.0	396.0	396.0	0.396	0.396	0.396	139.0	GigabitEthernet0/0	2629.0	6150.0
arm	netl	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	unsat	495	1967	369.0	369.0	369.0	0.368	0.368	0.368	135.0	GigabitEthernet0/0	2629.0	6150.0
