srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
au	pacwave	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	unsat	2276	10415	1067.0	1067.0	1067.0	1.066	1.066	1.066	204.0	GigabitEthernet0/0	2629.0	6001.0
wash	auid66	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	3155	13288	1444.0	1444.0	1444.0	1.444	1.444	1.444	156.0	GigabitEthernet0/0	2629.0	6001.0
abilene	sunn	IpWildcardIpSpace{ipWildcard=200.0.66.0/24}	unsat	0	0	26.0	26.0	26.0	0.026	0.026	0.026	158.0	GigabitEthernet0/0	2629.0	6001.0
nodeid40	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	5706	25339	2357.0	2357.0	2357.0	2.356	2.356	2.356	142.0	GigabitEthernet0/0	2629.0	6001.0
ga	geant	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	6059	20444	2981.0	2981.0	2981.0	2.981	2.981	2.981	135.0	GigabitEthernet0/0	2629.0	6001.0
pacwave	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	unsat	2025	8898	942.0	942.0	942.0	0.941	0.941	0.941	137.0	GigabitEthernet0/0	2629.0	6001.0
yuccattmt	doe	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	4830	18416	2346.0	2346.0	2346.0	2.346	2.346	2.346	137.0	GigabitEthernet0/0	2629.0	6001.0
pppl	jlab	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	unsat	2099	7312	883.0	883.0	883.0	0.882	0.882	0.882	151.0	GigabitEthernet0/0	2629.0	6001.0
nnsa	lanl	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	2068	9057	1091.0	1091.0	1091.0	1.09	1.09	1.09	176.0	GigabitEthernet0/0	2629.0	6001.0
yuccattmt	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	4647	16787	2063.0	2063.0	2063.0	2.062	2.062	2.062	145.0	GigabitEthernet0/0	2629.0	6001.0
au	osti	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	4710	15692	2109.0	2109.0	2109.0	2.109	2.109	2.109	139.0	GigabitEthernet0/0	2629.0	6001.0
ligo	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	3608	16171	1917.0	1917.0	1917.0	1.916	1.916	1.916	147.0	GigabitEthernet0/0	2629.0	6001.0
sinet	sea	IpWildcardIpSpace{ipWildcard=200.0.60.0/24}	unsat	8158	33902	3420.0	3420.0	3420.0	3.42	3.42	3.42	141.0	GigabitEthernet0/0	2629.0	6001.0
inl	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	unsat	3485	12204	1424.0	1424.0	1424.0	1.423	1.423	1.423	132.0	GigabitEthernet0/0	2629.0	6001.0
nrel	equinixid53	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	unsat	8208	22754	2579.0	2579.0	2579.0	2.578	2.578	2.578	135.0	GigabitEthernet0/0	2629.0	6001.0
arm	netl	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	unsat	5019	11930	1745.0	1745.0	1745.0	1.744	1.744	1.744	137.0	GigabitEthernet0/0	2629.0	6001.0
nodeid41	equinix	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	unsat	3257	13686	1169.0	1169.0	1169.0	1.168	1.168	1.168	139.0	GigabitEthernet0/0	2629.0	6001.0
ga	srs	IpWildcardIpSpace{ipWildcard=200.0.64.0/24}	unsat	4304	18738	1950.0	1950.0	1950.0	1.95	1.95	1.95	136.0	GigabitEthernet0/0	2629.0	6001.0
equinix	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	4385	13128	1641.0	1641.0	1641.0	1.64	1.64	1.64	128.0	GigabitEthernet0/0	2629.0	6001.0
nodeid40	nrel	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	unsat	3959	12922	1772.0	1772.0	1772.0	1.771	1.771	1.771	126.0	GigabitEthernet0/0	2629.0	6001.0
nodeid43	psfc	IpWildcardIpSpace{ipWildcard=200.0.57.0/24}	unsat	2591	12115	1132.0	1132.0	1132.0	1.131	1.131	1.131	148.0	GigabitEthernet0/0	2629.0	6001.0
fnal	srs	IpWildcardIpSpace{ipWildcard=200.0.64.0/24}	unsat	5927	22882	2324.0	2324.0	2324.0	2.323	2.323	2.323	129.0	GigabitEthernet0/0	2629.0	6001.0
nodeid43	pacificwave	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	unsat	5606	26853	2304.0	2304.0	2304.0	2.303	2.303	2.303	137.0	GigabitEthernet0/0	2629.0	6001.0
ampath	doedasha	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	unsat	2260	7840	1126.0	1126.0	1126.0	1.126	1.126	1.126	126.0	GigabitEthernet0/0	2629.0	6001.0
