srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
au	pacwave	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	sat	4	57	182.0	182.0	182.0	0.181	0.181	0.181	142.0	GigabitEthernet0/0	2629.0	6150.0
wash	auid66	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	2	43	167.0	167.0	167.0	0.166	0.166	0.166	150.0	GigabitEthernet0/0	2629.0	6150.0
abilene	sunn	IpWildcardIpSpace{ipWildcard=200.0.66.0/24}	sat	17	309	188.0	188.0	188.0	0.186	0.186	0.186	159.0	GigabitEthernet0/0	2629.0	6150.0
nodeid40	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	5	65	166.0	166.0	166.0	0.165	0.165	0.165	145.0	GigabitEthernet0/0	2629.0	6150.0
ga	geant	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	6	67	169.0	169.0	169.0	0.168	0.168	0.168	139.0	GigabitEthernet0/0	2629.0	6150.0
pacwave	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	4	61	166.0	166.0	166.0	0.165	0.165	0.165	134.0	GigabitEthernet0/0	2629.0	6150.0
yuccattmt	doe	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	18	184	173.0	173.0	173.0	0.172	0.172	0.172	134.0	GigabitEthernet0/0	2629.0	6150.0
pppl	jlab	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	17	154	171.0	171.0	171.0	0.17	0.17	0.17	145.0	GigabitEthernet0/0	2629.0	6150.0
nnsa	lanl	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	9	97	174.0	174.0	174.0	0.173	0.173	0.173	147.0	GigabitEthernet0/0	2629.0	6150.0
yuccattmt	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	7	57	165.0	165.0	165.0	0.164	0.164	0.164	164.0	GigabitEthernet0/0	2629.0	6150.0
au	osti	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	4	53	160.0	160.0	160.0	0.159	0.159	0.159	149.0	GigabitEthernet0/0	2629.0	6150.0
ligo	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	5	65	172.0	172.0	172.0	0.171	0.171	0.171	140.0	GigabitEthernet0/0	2629.0	6150.0
sinet	sea	IpWildcardIpSpace{ipWildcard=200.0.60.0/24}	sat	7	66	161.0	161.0	161.0	0.16	0.16	0.16	147.0	GigabitEthernet0/0	2629.0	6150.0
