srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
au	pacwave	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	sat	540	3069	389.0	389.0	389.0	0.388	0.388	0.388	186.0	GigabitEthernet0/0	2629.0	6150.0
wash	auid66	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	1147	5382	675.0	675.0	675.0	0.674	0.674	0.674	161.0	GigabitEthernet0/0	2629.0	6150.0
abilene	sunn	IpWildcardIpSpace{ipWildcard=200.0.66.0/24}	sat	943	4283	562.0	562.0	562.0	0.561	0.561	0.561	153.0	GigabitEthernet0/0	2629.0	6150.0
nodeid40	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	751	3847	430.0	430.0	430.0	0.429	0.429	0.429	144.0	GigabitEthernet0/0	2629.0	6150.0
ga	geant	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	785	4310	537.0	537.0	537.0	0.536	0.536	0.536	137.0	GigabitEthernet0/0	2629.0	6150.0
pacwave	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	757	3182	473.0	473.0	473.0	0.472	0.472	0.472	137.0	GigabitEthernet0/0	2629.0	6150.0
yuccattmt	doe	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	804	3657	485.0	485.0	485.0	0.484	0.484	0.484	148.0	GigabitEthernet0/0	2629.0	6150.0
pppl	jlab	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	631	3418	447.0	447.0	447.0	0.447	0.447	0.447	150.0	GigabitEthernet0/0	2629.0	6150.0
nnsa	lanl	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	725	3993	483.0	483.0	483.0	0.483	0.483	0.483	149.0	GigabitEthernet0/0	2629.0	6150.0
yuccattmt	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	1036	4837	617.0	617.0	617.0	0.616	0.616	0.616	157.0	GigabitEthernet0/0	2629.0	6150.0
au	osti	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	938	4127	602.0	602.0	602.0	0.601	0.601	0.601	149.0	GigabitEthernet0/0	2629.0	6150.0
