srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
annttarbor	findlay	IpWildcardIpSpace{ipWildcard=200.0.214.0/24}	unsat	245943	671582	2642729.0	2642729.0	2642729.0	2642.726	2642.726	2642.726	2274.0	GigabitEthernet0/0	28943.0	67920.0
norristtcity	southttboston	IpWildcardIpSpace{ipWildcard=200.2.150.0/24}	unsat	256404	733169	2686239.0	2686239.0	2686239.0	2686.238	2686.238	2686.238	1659.0	GigabitEthernet0/0	28943.0	67920.0
bayttcity	monticello	IpWildcardIpSpace{ipWildcard=200.1.205.0/24}	timeout	313086	683627	3600212.0	3600212.0	3600212.0	3600.211	3600.211	3600.211	1771.0	GigabitEthernet0/0	28943.0	67920.0
spooner	battlettcreek	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	unsat	153646	583698	1589327.0	1589327.0	1589327.0	1589.326	1589.326	1589.326	1940.0	GigabitEthernet0/0	28943.0	67920.0
lexington	jennings	IpWildcardIpSpace{ipWildcard=200.1.62.0/24}	unsat	151228	589475	587586.0	587586.0	587586.0	587.584	587.584	587.584	1736.0	GigabitEthernet0/0	28943.0	67920.0
southfielddetroit	vincennes	IpWildcardIpSpace{ipWildcard=200.2.194.0/24}	unsat	214602	660249	1139693.0	1139693.0	1139693.0	1139.692	1139.692	1139.692	1679.0	GigabitEthernet0/0	28943.0	67920.0
bryan	harrisburg	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	unsat	261214	730315	1154378.0	1154378.0	1154378.0	1154.376	1154.376	1154.376	1716.0	GigabitEthernet0/0	28943.0	67920.0
conway	pinson	IpWildcardIpSpace{ipWildcard=200.2.67.0/24}	timeout	326394	686979	3600171.0	3600171.0	3600171.0	3600.17	3600.17	3600.17	1549.0	GigabitEthernet0/0	28943.0	67920.0
tallahassee	culpeper	IpWildcardIpSpace{ipWildcard=200.0.158.0/24}	timeout	264328	679414	3600233.0	3600233.0	3600233.0	3600.232	3600.232	3600.232	1847.0	GigabitEthernet0/0	28943.0	67920.0
collinsville	london	IpWildcardIpSpace{ipWildcard=200.1.124.0/24}	timeout	334777	794967	3600221.0	3600221.0	3600221.0	3600.22	3600.22	3600.22	1651.0	GigabitEthernet0/0	28943.0	67920.0
demopolis	greenwoodid641	IpWildcardIpSpace{ipWildcard=200.1.11.0/24}	unsat	181282	596661	815771.0	815771.0	815771.0	815.769	815.769	815.769	1547.0	GigabitEthernet0/0	28943.0	67920.0
martin	paoli	IpWildcardIpSpace{ipWildcard=200.2.44.0/24}	unsat	183835	640318	986334.0	986334.0	986334.0	986.333	986.333	986.333	1651.0	GigabitEthernet0/0	28943.0	67920.0
greensburg	elgin	IpWildcardIpSpace{ipWildcard=200.0.193.0/24}	unsat	128064	496823	463718.0	463718.0	463718.0	463.717	463.717	463.717	1451.0	GigabitEthernet0/0	28943.0	67920.0
chester	crane	IpWildcardIpSpace{ipWildcard=200.0.151.0/24}	unsat	367922	853864	2500899.0	2500899.0	2500899.0	2500.898	2500.898	2500.898	2182.0	GigabitEthernet0/0	28943.0	67920.0
logansport	childersburg	IpWildcardIpSpace{ipWildcard=200.0.116.0/24}	unsat	155931	672130	991317.0	991317.0	991317.0	991.316	991.316	991.316	1485.0	GigabitEthernet0/0	28943.0	67920.0
burlington	morrilton	IpWildcardIpSpace{ipWildcard=200.1.212.0/24}	timeout	329114	833269	3600252.0	3600252.0	3600252.0	3600.251	3600.251	3600.251	1469.0	GigabitEthernet0/0	28943.0	67920.0
huntingdon	huntingtonid730	IpWildcardIpSpace{ipWildcard=200.1.40.0/24}	unsat	374149	865232	3018591.0	3018591.0	3018591.0	3018.59	3018.59	3018.59	1433.0	GigabitEthernet0/0	28943.0	67920.0
warsaw	americus	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	timeout	466128	918271	3600232.0	3600232.0	3600232.0	3600.232	3600.232	3600.232	1493.0	GigabitEthernet0/0	28943.0	67920.0
saginaw	birmingham	IpWildcardIpSpace{ipWildcard=200.0.68.0/24}	unsat	361466	968159	2948081.0	2948081.0	2948081.0	2948.08	2948.08	2948.08	1638.0	GigabitEthernet0/0	28943.0	67920.0
nodeid390	eufaula	IpWildcardIpSpace{ipWildcard=200.0.203.0/24}	timeout	345871	864132	3600250.0	3600250.0	3600250.0	3600.25	3600.25	3600.25	1633.0	GigabitEthernet0/0	28943.0	67920.0
vicksburg	zanesville	IpWildcardIpSpace{ipWildcard=200.2.242.0/24}	unsat	179733	688968	1381873.0	1381873.0	1381873.0	1381.873	1381.873	1381.873	1461.0	GigabitEthernet0/0	28943.0	67920.0
danvilleid290	albertville	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	unsat	138340	557797	622197.0	622197.0	622197.0	622.196	622.196	622.196	1535.0	GigabitEthernet0/0	28943.0	67920.0
midland	oneonta	IpWildcardIpSpace{ipWildcard=200.2.33.0/24}	timeout	399846	831449	3600237.0	3600237.0	3600237.0	3600.236	3600.236	3600.236	1458.0	GigabitEthernet0/0	28943.0	67920.0
columbiaid471	westttmemphis	IpWildcardIpSpace{ipWildcard=200.2.214.0/24}	timeout	486423	799496	3600432.0	3600432.0	3600432.0	3600.431	3600.431	3600.431	1540.0	GigabitEthernet0/0	28943.0	67920.0
jacksonid519	peerwarrensburg0	IpWildcardIpSpace{ipWildcard=200.2.52.0/24}	unsat	306592	907784	3186482.0	3186482.0	3186482.0	3186.481	3186.481	3186.481	1694.0	GigabitEthernet0/0	28943.0	67920.0
nodeid634	linettlexington	IpWildcardIpSpace{ipWildcard=200.1.116.0/24}	timeout	335118	763229	3600248.0	3600248.0	3600248.0	3600.247	3600.247	3600.247	1783.0	GigabitEthernet0/0	28943.0	67920.0
nodeid343	chandler	IpWildcardIpSpace{ipWildcard=200.0.107.0/24}	unsat	109943	527804	589837.0	589837.0	589837.0	589.836	589.836	589.836	1714.0	GigabitEthernet0/0	28943.0	67920.0
redttwing	morristown	IpWildcardIpSpace{ipWildcard=200.1.213.0/24}	timeout	461263	841391	3600322.0	3600322.0	3600322.0	3600.321	3600.321	3600.321	1719.0	GigabitEthernet0/0	28943.0	67920.0
alexandriaid749	bristol	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	unsat	452183	954080	3050877.0	3050877.0	3050877.0	3050.876	3050.876	3050.876	1446.0	GigabitEthernet0/0	28943.0	67920.0
harrisonville	franklinid613	IpWildcardIpSpace{ipWildcard=200.0.236.0/24}	unsat	129980	528718	653324.0	653324.0	653324.0	653.323	653.323	653.323	1473.0	GigabitEthernet0/0	28943.0	67920.0
estill	biscoe	IpWildcardIpSpace{ipWildcard=200.0.69.0/24}	unsat	257784	752523	2568445.0	2568445.0	2568445.0	2568.443	2568.443	2568.443	1652.0	GigabitEthernet0/0	28943.0	67920.0
milwaukee	knoxville	IpWildcardIpSpace{ipWildcard=200.1.80.0/24}	timeout	270917	625448	3600240.0	3600240.0	3600240.0	3600.239	3600.239	3600.239	1466.0	GigabitEthernet0/0	28943.0	67920.0
franklinid253	westttpoint	IpWildcardIpSpace{ipWildcard=200.2.215.0/24}	timeout	267349	594204	3600244.0	3600244.0	3600244.0	3600.244	3600.244	3600.244	1484.0	GigabitEthernet0/0	28943.0	67920.0
forest	pittsburgh	IpWildcardIpSpace{ipWildcard=200.2.69.0/24}	timeout	463847	1023752	3600353.0	3600353.0	3600353.0	3600.351	3600.351	3600.351	2274.0	GigabitEthernet0/0	28943.0	67920.0
flint	greenvilleid685	IpWildcardIpSpace{ipWildcard=200.1.9.0/24}	unsat	251058	769718	1905520.0	1905520.0	1905520.0	1905.519	1905.519	1905.519	1585.0	GigabitEthernet0/0	28943.0	67920.0
clarksvilleid402	louisa	IpWildcardIpSpace{ipWildcard=200.1.128.0/24}	unsat	123531	534168	700543.0	700543.0	700543.0	700.542	700.542	700.542	1767.0	GigabitEthernet0/0	28943.0	67920.0
