srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
annttarbor	findlay	IpWildcardIpSpace{ipWildcard=200.0.214.0/24}	sat	669	20425	12866.0	12866.0	12866.0	12.866	12.866	12.866	1740.0	GigabitEthernet0/0	28943.0	67920.0
norristtcity	southttboston	IpWildcardIpSpace{ipWildcard=200.2.150.0/24}	sat	160	25243	11900.0	11900.0	11900.0	11.899	11.899	11.899	1613.0	GigabitEthernet0/0	28943.0	67920.0
bayttcity	monticello	IpWildcardIpSpace{ipWildcard=200.1.205.0/24}	sat	160	11510	11938.0	11938.0	11938.0	11.937	11.937	11.937	1614.0	GigabitEthernet0/0	28943.0	67920.0
spooner	battlettcreek	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	4979	52190	21864.0	21864.0	21864.0	21.863	21.863	21.863	1689.0	GigabitEthernet0/0	28943.0	67920.0
lexington	jennings	IpWildcardIpSpace{ipWildcard=200.1.62.0/24}	sat	1656	171631	25662.0	25662.0	25662.0	25.661	25.661	25.661	1619.0	GigabitEthernet0/0	28943.0	67920.0
southfielddetroit	vincennes	IpWildcardIpSpace{ipWildcard=200.2.194.0/24}	sat	488	43123	18064.0	18064.0	18064.0	18.063	18.063	18.063	1653.0	GigabitEthernet0/0	28943.0	67920.0
bryan	harrisburg	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	sat	1124	74075	27454.0	27454.0	27454.0	27.453	27.453	27.453	1648.0	GigabitEthernet0/0	28943.0	67920.0
conway	pinson	IpWildcardIpSpace{ipWildcard=200.2.67.0/24}	sat	3533	68466	25815.0	25815.0	25815.0	25.814	25.814	25.814	1512.0	GigabitEthernet0/0	28943.0	67920.0
tallahassee	culpeper	IpWildcardIpSpace{ipWildcard=200.0.158.0/24}	sat	69507	677963	386354.0	386354.0	386354.0	386.353	386.353	386.353	1545.0	GigabitEthernet0/0	28943.0	67920.0
collinsville	london	IpWildcardIpSpace{ipWildcard=200.1.124.0/24}	sat	507	33714	13933.0	13933.0	13933.0	13.932	13.932	13.932	1538.0	GigabitEthernet0/0	28943.0	67920.0
