srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
preili	ragona	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	unsat	148	2250	258.0	258.0	258.0	0.258	0.258	0.258	140.0	GigabitEthernet0/0	2522.0	5762.0
grobina	talsi	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	unsat	153	2015	202.0	202.0	202.0	0.201	0.201	0.201	132.0	GigabitEthernet0/0	2522.0	5762.0
bauska	cibla	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	unsat	151	2035	221.0	221.0	221.0	0.221	0.221	0.221	135.0	GigabitEthernet0/0	2522.0	5762.0
gulbene	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	unsat	191	2128	207.0	207.0	207.0	0.206	0.206	0.206	130.0	GigabitEthernet0/0	2522.0	5762.0
kraslava	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	unsat	192	2183	209.0	209.0	209.0	0.208	0.208	0.208	127.0	GigabitEthernet0/0	2522.0	5762.0
skriveri	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	unsat	142	2126	221.0	221.0	221.0	0.221	0.221	0.221	134.0	GigabitEthernet0/0	2522.0	5762.0
saldus	peerbalvi0	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	unsat	182	2292	200.0	200.0	200.0	0.199	0.199	0.199	122.0	GigabitEthernet0/0	2522.0	5762.0
riga	limbazi	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	unsat	98	2601	223.0	223.0	223.0	0.223	0.223	0.223	172.0	GigabitEthernet0/0	2522.0	5762.0
limbazi	liepupe	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	unsat	135	1962	217.0	217.0	217.0	0.216	0.216	0.216	136.0	GigabitEthernet0/0	2522.0	5762.0
kraslava	ludza	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	unsat	179	2108	237.0	237.0	237.0	0.236	0.236	0.236	129.0	GigabitEthernet0/0	2522.0	5762.0
jekabpils	sigulda	IpWildcardIpSpace{ipWildcard=200.0.55.0/24}	unsat	117	1771	228.0	228.0	228.0	0.227	0.227	0.227	135.0	GigabitEthernet0/0	2522.0	5762.0
ulbroka	jumprava	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	unsat	183	2657	240.0	240.0	240.0	0.239	0.239	0.239	130.0	GigabitEthernet0/0	2522.0	5762.0
jurmala	salagriva	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	unsat	169	1754	214.0	214.0	214.0	0.213	0.213	0.213	128.0	GigabitEthernet0/0	2522.0	5762.0
iecava	liepupe	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	unsat	169	2315	227.0	227.0	227.0	0.226	0.226	0.226	159.0	GigabitEthernet0/0	2522.0	5762.0
kalnciems	preili	IpWildcardIpSpace{ipWildcard=200.0.46.0/24}	unsat	315	1850	270.0	270.0	270.0	0.27	0.27	0.27	162.0	GigabitEthernet0/0	2522.0	5762.0
aizkroukle	ikskile	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	unsat	2	53	151.0	151.0	151.0	0.15	0.15	0.15	145.0	GigabitEthernet0/0	2522.0	5762.0
aloja	daugapils	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	293	2209	255.0	255.0	255.0	0.255	0.255	0.255	132.0	GigabitEthernet0/0	2522.0	5762.0
salagriva	aloja	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	218	1553	258.0	258.0	258.0	0.258	0.258	0.258	146.0	GigabitEthernet0/0	2522.0	5762.0
vangazi	carnikava	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	206	2134	242.0	242.0	242.0	0.241	0.241	0.241	128.0	GigabitEthernet0/0	2522.0	5762.0
lielvarde	platone	IpWildcardIpSpace{ipWildcard=200.0.44.0/24}	unsat	131	2128	218.0	218.0	218.0	0.217	0.217	0.217	133.0	GigabitEthernet0/0	2522.0	5762.0
ozolnieki	ventspits	IpWildcardIpSpace{ipWildcard=200.0.63.0/24}	unsat	173	2436	220.0	220.0	220.0	0.219	0.219	0.219	137.0	GigabitEthernet0/0	2522.0	5762.0
valmiera	iecava	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	unsat	219	2215	208.0	208.0	208.0	0.207	0.207	0.207	145.0	GigabitEthernet0/0	2522.0	5762.0
strenci	salaspils	IpWildcardIpSpace{ipWildcard=200.0.53.0/24}	unsat	158	1982	207.0	207.0	207.0	0.206	0.206	0.206	121.0	GigabitEthernet0/0	2522.0	5762.0
broceni	jekabpils	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	172	2676	260.0	260.0	260.0	0.26	0.26	0.26	129.0	GigabitEthernet0/0	2522.0	5762.0
liepaja	jelgava	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	unsat	170	1956	223.0	223.0	223.0	0.222	0.222	0.222	149.0	GigabitEthernet0/0	2522.0	5762.0
adazi	grobina	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	201	2201	222.0	222.0	222.0	0.221	0.221	0.221	126.0	GigabitEthernet0/0	2522.0	5762.0
liepupe	jekabpils	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	150	2640	287.0	287.0	287.0	0.286	0.286	0.286	132.0	GigabitEthernet0/0	2522.0	5762.0
balvi	aizpute	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	unsat	120	2288	215.0	215.0	215.0	0.214	0.214	0.214	125.0	GigabitEthernet0/0	2522.0	5762.0
livberze	vijkene	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	unsat	182	2211	235.0	235.0	235.0	0.234	0.234	0.234	119.0	GigabitEthernet0/0	2522.0	5762.0
ledurga	aizkroukle	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	unsat	137	2684	255.0	255.0	255.0	0.255	0.255	0.255	128.0	GigabitEthernet0/0	2522.0	5762.0
lielvarde	gulbene	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	233	3969	244.0	244.0	244.0	0.243	0.243	0.243	129.0	GigabitEthernet0/0	2522.0	5762.0
jurmala	dobele	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	unsat	180	1968	213.0	213.0	213.0	0.212	0.212	0.212	120.0	GigabitEthernet0/0	2522.0	5762.0
sigulda	baldone	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	unsat	274	2330	224.0	224.0	224.0	0.223	0.223	0.223	125.0	GigabitEthernet0/0	2522.0	5762.0
baldone	mazsalaca	IpWildcardIpSpace{ipWildcard=200.0.39.0/24}	unsat	145	1889	218.0	218.0	218.0	0.217	0.217	0.217	123.0	GigabitEthernet0/0	2522.0	5762.0
