srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
preili	ragona	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	unsat	332	2131	288.0	288.0	288.0	0.287	0.287	0.287	155.0	GigabitEthernet0/0	2522.0	5906.0
grobina	talsi	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	unsat	213	1709	238.0	238.0	238.0	0.237	0.237	0.237	135.0	GigabitEthernet0/0	2522.0	5906.0
bauska	cibla	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	unsat	287	1764	276.0	276.0	276.0	0.275	0.275	0.275	134.0	GigabitEthernet0/0	2522.0	5906.0
gulbene	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	unsat	227	1990	230.0	230.0	230.0	0.23	0.23	0.23	130.0	GigabitEthernet0/0	2522.0	5906.0
kraslava	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	unsat	276	2076	243.0	243.0	243.0	0.242	0.242	0.242	126.0	GigabitEthernet0/0	2522.0	5906.0
skriveri	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	unsat	183	1466	209.0	209.0	209.0	0.208	0.208	0.208	131.0	GigabitEthernet0/0	2522.0	5906.0
saldus	peerbalvi0	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	unsat	259	1987	214.0	214.0	214.0	0.214	0.214	0.214	118.0	GigabitEthernet0/0	2522.0	5906.0
riga	limbazi	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	unsat	214	2950	280.0	280.0	280.0	0.279	0.279	0.279	168.0	GigabitEthernet0/0	2522.0	5906.0
limbazi	liepupe	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	unsat	212	2288	259.0	259.0	259.0	0.258	0.258	0.258	133.0	GigabitEthernet0/0	2522.0	5906.0
kraslava	ludza	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	unsat	249	2812	255.0	255.0	255.0	0.255	0.255	0.255	131.0	GigabitEthernet0/0	2522.0	5906.0
jekabpils	sigulda	IpWildcardIpSpace{ipWildcard=200.0.55.0/24}	unsat	215	2571	286.0	286.0	286.0	0.285	0.285	0.285	142.0	GigabitEthernet0/0	2522.0	5906.0
ulbroka	jumprava	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	unsat	277	1903	265.0	265.0	265.0	0.264	0.264	0.264	130.0	GigabitEthernet0/0	2522.0	5906.0
jurmala	salagriva	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	unsat	301	2401	298.0	298.0	298.0	0.297	0.297	0.297	124.0	GigabitEthernet0/0	2522.0	5906.0
iecava	liepupe	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	unsat	194	2097	266.0	266.0	266.0	0.266	0.266	0.266	143.0	GigabitEthernet0/0	2522.0	5906.0
kalnciems	preili	IpWildcardIpSpace{ipWildcard=200.0.46.0/24}	unsat	234	3076	294.0	294.0	294.0	0.294	0.294	0.294	138.0	GigabitEthernet0/0	2522.0	5906.0
aizkroukle	ikskile	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	unsat	12	21	140.0	140.0	140.0	0.139	0.139	0.139	141.0	GigabitEthernet0/0	2522.0	5906.0
aloja	daugapils	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	268	1596	264.0	264.0	264.0	0.263	0.263	0.263	136.0	GigabitEthernet0/0	2522.0	5906.0
salagriva	aloja	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	233	2076	277.0	277.0	277.0	0.276	0.276	0.276	141.0	GigabitEthernet0/0	2522.0	5906.0
vangazi	carnikava	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	263	1629	247.0	247.0	247.0	0.246	0.246	0.246	142.0	GigabitEthernet0/0	2522.0	5906.0
lielvarde	platone	IpWildcardIpSpace{ipWildcard=200.0.44.0/24}	unsat	297	1952	287.0	287.0	287.0	0.286	0.286	0.286	135.0	GigabitEthernet0/0	2522.0	5906.0
ozolnieki	ventspits	IpWildcardIpSpace{ipWildcard=200.0.63.0/24}	unsat	275	1517	243.0	243.0	243.0	0.242	0.242	0.242	122.0	GigabitEthernet0/0	2522.0	5906.0
valmiera	iecava	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	unsat	278	1983	245.0	245.0	245.0	0.245	0.245	0.245	152.0	GigabitEthernet0/0	2522.0	5906.0
strenci	salaspils	IpWildcardIpSpace{ipWildcard=200.0.53.0/24}	unsat	239	1507	220.0	220.0	220.0	0.22	0.22	0.22	121.0	GigabitEthernet0/0	2522.0	5906.0
broceni	jekabpils	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	329	3531	303.0	303.0	303.0	0.302	0.302	0.302	130.0	GigabitEthernet0/0	2522.0	5906.0
liepaja	jelgava	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	unsat	204	1704	218.0	218.0	218.0	0.217	0.217	0.217	144.0	GigabitEthernet0/0	2522.0	5906.0
adazi	grobina	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	244	3020	262.0	262.0	262.0	0.261	0.261	0.261	122.0	GigabitEthernet0/0	2522.0	5906.0
