srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
preili	ragona	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	268	2401	290.0	290.0	290.0	0.289	0.289	0.289	148.0	GigabitEthernet0/0	2522.0	5906.0
grobina	talsi	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	sat	274	2624	264.0	264.0	264.0	0.264	0.264	0.264	131.0	GigabitEthernet0/0	2522.0	5906.0
bauska	cibla	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	199	1703	273.0	273.0	273.0	0.272	0.272	0.272	136.0	GigabitEthernet0/0	2522.0	5906.0
gulbene	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	279	2592	284.0	284.0	284.0	0.284	0.284	0.284	155.0	GigabitEthernet0/0	2522.0	5906.0
kraslava	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	196	1510	226.0	226.0	226.0	0.224	0.224	0.224	126.0	GigabitEthernet0/0	2522.0	5906.0
skriveri	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	266	1849	255.0	255.0	255.0	0.255	0.255	0.255	125.0	GigabitEthernet0/0	2522.0	5906.0
saldus	peerbalvi0	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	184	7184	195.0	195.0	195.0	0.194	0.194	0.194	122.0	GigabitEthernet0/0	2522.0	5906.0
riga	limbazi	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	sat	93	2414	209.0	209.0	209.0	0.209	0.209	0.209	169.0	GigabitEthernet0/0	2522.0	5906.0
limbazi	liepupe	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	195	2895	271.0	271.0	271.0	0.27	0.27	0.27	131.0	GigabitEthernet0/0	2522.0	5906.0
kraslava	ludza	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	sat	143	1727	245.0	245.0	245.0	0.245	0.245	0.245	129.0	GigabitEthernet0/0	2522.0	5906.0
jekabpils	sigulda	IpWildcardIpSpace{ipWildcard=200.0.55.0/24}	sat	167	2352	276.0	276.0	276.0	0.276	0.276	0.276	142.0	GigabitEthernet0/0	2522.0	5906.0
