srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
preili	ragona	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	276	4527	305.0	305.0	305.0	0.304	0.304	0.304	136.0	GigabitEthernet0/0	2522.0	5762.0
grobina	talsi	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	sat	89	3051	213.0	213.0	213.0	0.212	0.212	0.212	130.0	GigabitEthernet0/0	2522.0	5762.0
bauska	cibla	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	198	2838	231.0	231.0	231.0	0.23	0.23	0.23	127.0	GigabitEthernet0/0	2522.0	5762.0
gulbene	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	106	1686	200.0	200.0	200.0	0.199	0.199	0.199	128.0	GigabitEthernet0/0	2522.0	5762.0
kraslava	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	108	1673	200.0	200.0	200.0	0.2	0.2	0.2	126.0	GigabitEthernet0/0	2522.0	5762.0
skriveri	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	191	3310	237.0	237.0	237.0	0.236	0.236	0.236	123.0	GigabitEthernet0/0	2522.0	5762.0
saldus	peerbalvi0	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	376	4228	324.0	324.0	324.0	0.322	0.322	0.322	123.0	GigabitEthernet0/0	2522.0	5762.0
riga	limbazi	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	sat	217	2340	260.0	260.0	260.0	0.26	0.26	0.26	162.0	GigabitEthernet0/0	2522.0	5762.0
limbazi	liepupe	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	168	3228	228.0	228.0	228.0	0.227	0.227	0.227	131.0	GigabitEthernet0/0	2522.0	5762.0
kraslava	ludza	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	sat	246	3305	294.0	294.0	294.0	0.293	0.293	0.293	129.0	GigabitEthernet0/0	2522.0	5762.0
jekabpils	sigulda	IpWildcardIpSpace{ipWildcard=200.0.55.0/24}	sat	296	3864	290.0	290.0	290.0	0.289	0.289	0.289	134.0	GigabitEthernet0/0	2522.0	5762.0
ulbroka	jumprava	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	151	3867	227.0	227.0	227.0	0.226	0.226	0.226	128.0	GigabitEthernet0/0	2522.0	5762.0
jurmala	salagriva	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	sat	498	4790	404.0	404.0	404.0	0.404	0.404	0.404	126.0	GigabitEthernet0/0	2522.0	5762.0
iecava	liepupe	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	220	2136	269.0	269.0	269.0	0.268	0.268	0.268	171.0	GigabitEthernet0/0	2522.0	5762.0
kalnciems	preili	IpWildcardIpSpace{ipWildcard=200.0.46.0/24}	sat	224	3015	265.0	265.0	265.0	0.265	0.265	0.265	141.0	GigabitEthernet0/0	2522.0	5762.0
aizkroukle	ikskile	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	272	3114	273.0	273.0	273.0	0.272	0.272	0.272	140.0	GigabitEthernet0/0	2522.0	5762.0
aloja	daugapils	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	296	3695	307.0	307.0	307.0	0.307	0.307	0.307	138.0	GigabitEthernet0/0	2522.0	5762.0
salagriva	aloja	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	200	2418	272.0	272.0	272.0	0.272	0.272	0.272	131.0	GigabitEthernet0/0	2522.0	5762.0
vangazi	carnikava	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	247	5046	308.0	308.0	308.0	0.307	0.307	0.307	129.0	GigabitEthernet0/0	2522.0	5762.0
lielvarde	platone	IpWildcardIpSpace{ipWildcard=200.0.44.0/24}	sat	274	3017	234.0	234.0	234.0	0.233	0.233	0.233	130.0	GigabitEthernet0/0	2522.0	5762.0
ozolnieki	ventspits	IpWildcardIpSpace{ipWildcard=200.0.63.0/24}	sat	377	4948	391.0	391.0	391.0	0.39	0.39	0.39	132.0	GigabitEthernet0/0	2522.0	5762.0
valmiera	iecava	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	sat	304	4339	311.0	311.0	311.0	0.31	0.31	0.31	128.0	GigabitEthernet0/0	2522.0	5762.0
strenci	salaspils	IpWildcardIpSpace{ipWildcard=200.0.53.0/24}	sat	57	950	172.0	172.0	172.0	0.171	0.171	0.171	123.0	GigabitEthernet0/0	2522.0	5762.0
broceni	jekabpils	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	302	3713	301.0	301.0	301.0	0.3	0.3	0.3	136.0	GigabitEthernet0/0	2522.0	5762.0
