srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
bristolidhh150	newttyork	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	timeout	742080	8382576	5009453.0	5009453.0	5009453.0	5009.451	5009.451	5009.451	1360.0	GigabitEthernet0/0	21577.0	50586.0
savannah	norfolk	IpWildcardIpSpace{ipWildcard=200.1.111.0/24}	unsat	468677	5078247	3568864.0	3568864.0	3568864.0	3568.862	3568.862	3568.862	1232.0	GigabitEthernet0/0	21577.0	50586.0
memphis	stttpollen	IpWildcardIpSpace{ipWildcard=200.1.214.0/24}	timeout	521440	5645680	3600180.0	3600180.0	3600180.0	3600.179	3600.179	3600.179	1191.0	GigabitEthernet0/0	21577.0	50586.0
putnamttvalley	elmira	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	unsat	293137	2737485	2035315.0	2035315.0	2035315.0	2035.314	2035.314	2035.314	1118.0	GigabitEthernet0/0	21577.0	50586.0
chandrapur	nodeidgh97	IpWildcardIpSpace{ipWildcard=200.1.101.0/24}	timeout	545219	6109158	3600167.0	3600167.0	3600167.0	3600.166	3600.166	3600.166	1060.0	GigabitEthernet0/0	21577.0	50586.0
bari	gaya	IpWildcardIpSpace{ipWildcard=200.0.168.0/24}	timeout	582319	7039033	3600166.0	3600166.0	3600166.0	3600.166	3600.166	3600.166	1107.0	GigabitEthernet0/0	21577.0	50586.0
benningtown	hamilton	IpWildcardIpSpace{ipWildcard=200.0.190.0/24}	unsat	408585	3739364	2217958.0	2217958.0	2217958.0	2217.957	2217.957	2217.957	1062.0	GigabitEthernet0/0	21577.0	50586.0
burdett	corning	IpWildcardIpSpace{ipWildcard=200.0.119.0/24}	unsat	244867	2342842	1546016.0	1546016.0	1546016.0	1546.015	1546.015	1546.015	1058.0	GigabitEthernet0/0	21577.0	50586.0
zurich	sonipat	IpWildcardIpSpace{ipWildcard=200.1.209.0/24}	timeout	504366	6026072	3600185.0	3600185.0	3600185.0	3600.184	3600.184	3600.184	1227.0	GigabitEthernet0/0	21577.0	50586.0
allahabad	lucknow	IpWildcardIpSpace{ipWildcard=200.1.11.0/24}	timeout	546261	6083082	3600238.0	3600238.0	3600238.0	3600.236	3600.236	3600.236	1273.0	GigabitEthernet0/0	21577.0	50586.0
altmar	cologne	IpWildcardIpSpace{ipWildcard=200.0.114.0/24}	timeout	540615	6236302	3600266.0	3600266.0	3600266.0	3600.265	3600.265	3600.265	1236.0	GigabitEthernet0/0	21577.0	50586.0
nodeidgg123	salamanca	IpWildcardIpSpace{ipWildcard=200.1.186.0/24}	unsat	466538	4131454	2691133.0	2691133.0	2691133.0	2691.132	2691.132	2691.132	1069.0	GigabitEthernet0/0	21577.0	50586.0
brescia	wardha	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	timeout	668857	7333459	3600327.0	3600327.0	3600327.0	3600.326	3600.326	3600.326	1517.0	GigabitEthernet0/0	21577.0	50586.0
margaretsville	palermo	IpWildcardIpSpace{ipWildcard=200.1.129.0/24}	timeout	590612	5386348	3600214.0	3600214.0	3600214.0	3600.213	3600.213	3600.213	1038.0	GigabitEthernet0/0	21577.0	50586.0
southttcanaan	gainesville	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	timeout	664285	7244651	3600169.0	3600169.0	3600169.0	3600.168	3600.168	3600.168	1177.0	GigabitEthernet0/0	21577.0	50586.0
nodeidgh111	dothan	IpWildcardIpSpace{ipWildcard=200.0.139.0/24}	timeout	438433	5319875	3600244.0	3600244.0	3600244.0	3600.243	3600.243	3600.243	1266.0	GigabitEthernet0/0	21577.0	50586.0
mysore	stockholm	IpWildcardIpSpace{ipWildcard=200.1.211.0/24}	timeout	632774	9641037	3600201.0	3600201.0	3600201.0	3600.2	3600.2	3600.2	1265.0	GigabitEthernet0/0	21577.0	50586.0
alexandria	harriman	IpWildcardIpSpace{ipWildcard=200.0.193.0/24}	timeout	708859	7237630	3600231.0	3600231.0	3600231.0	3600.23	3600.23	3600.23	1276.0	GigabitEthernet0/0	21577.0	50586.0
poitiers	bielbienne	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	timeout	523738	5163726	3600183.0	3600183.0	3600183.0	3600.183	3600.183	3600.183	1036.0	GigabitEthernet0/0	21577.0	50586.0
monroeidgh21	raipur	IpWildcardIpSpace{ipWildcard=200.1.162.0/24}	timeout	530844	6005853	3600311.0	3600311.0	3600311.0	3600.31	3600.31	3600.31	1215.0	GigabitEthernet0/0	21577.0	50586.0
mobile	tampa	IpWildcardIpSpace{ipWildcard=200.1.222.0/24}	timeout	574886	7585252	3600247.0	3600247.0	3600247.0	3600.246	3600.246	3600.246	1265.0	GigabitEthernet0/0	21577.0	50586.0
sylva	houston	IpWildcardIpSpace{ipWildcard=200.0.206.0/24}	unsat	503749	5399241	3486422.0	3486422.0	3486422.0	3486.421	3486.421	3486.421	1058.0	GigabitEthernet0/0	21577.0	50586.0
valsad	goa	IpWildcardIpSpace{ipWildcard=200.0.176.0/24}	unsat	290552	2814014	1929042.0	1929042.0	1929042.0	1929.041	1929.041	1929.041	1205.0	GigabitEthernet0/0	21577.0	50586.0
canton	jacksonidgh91	IpWildcardIpSpace{ipWildcard=200.0.217.0/24}	unsat	388002	3799173	2549820.0	2549820.0	2549820.0	2549.819	2549.819	2549.819	1070.0	GigabitEthernet0/0	21577.0	50586.0
lakettcharles	nodeidgg92	IpWildcardIpSpace{ipWildcard=200.1.87.0/24}	timeout	702725	6797631	3600196.0	3600196.0	3600196.0	3600.195	3600.195	3600.195	1045.0	GigabitEthernet0/0	21577.0	50586.0
liege	bhopal	IpWildcardIpSpace{ipWildcard=200.0.59.0/24}	timeout	509112	6007101	3600200.0	3600200.0	3600200.0	3600.199	3600.199	3600.199	1174.0	GigabitEthernet0/0	21577.0	50586.0
himmatnagar	nodeidgg31	IpWildcardIpSpace{ipWildcard=200.1.83.0/24}	timeout	678583	7466949	3600174.0	3600174.0	3600174.0	3600.173	3600.173	3600.173	1028.0	GigabitEthernet0/0	21577.0	50586.0
brussels	genova	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	timeout	774778	6262708	3600175.0	3600175.0	3600175.0	3600.175	3600.175	3600.175	1052.0	GigabitEthernet0/0	21577.0	50586.0
dijon	raleigh	IpWildcardIpSpace{ipWildcard=200.1.164.0/24}	unsat	354001	3845776	2210877.0	2210877.0	2210877.0	2210.877	2210.877	2210.877	1089.0	GigabitEthernet0/0	21577.0	50586.0
newnah	gloversville	IpWildcardIpSpace{ipWildcard=200.0.175.0/24}	timeout	1787138	17107499	10638166.0	10638166.0	10638166.0	10638.163	10638.163	10638.163	1479.0	GigabitEthernet0/0	21577.0	50586.0
ludhiana	manchester	IpWildcardIpSpace{ipWildcard=200.1.22.0/24}	timeout	603279	6714549	3600195.0	3600195.0	3600195.0	3600.194	3600.194	3600.194	1272.0	GigabitEthernet0/0	21577.0	50586.0
rimini	nodeidgg30	IpWildcardIpSpace{ipWildcard=200.1.82.0/24}	timeout	586671	6579261	3600267.0	3600267.0	3600267.0	3600.266	3600.266	3600.266	1234.0	GigabitEthernet0/0	21577.0	50586.0
callicut	zug	IpWildcardIpSpace{ipWildcard=200.2.23.0/24}	timeout	738044	8346405	3600325.0	3600325.0	3600325.0	3600.324	3600.324	3600.324	1067.0	GigabitEthernet0/0	21577.0	50586.0
akola	meerut	IpWildcardIpSpace{ipWildcard=200.1.30.0/24}	timeout	468672	5397018	3600189.0	3600189.0	3600189.0	3600.188	3600.188	3600.188	1059.0	GigabitEthernet0/0	21577.0	50586.0
barreidgg104	chazy	IpWildcardIpSpace{ipWildcard=200.0.104.0/24}	timeout	499998	6284464	3600243.0	3600243.0	3600243.0	3600.243	3600.243	3600.243	1252.0	GigabitEthernet0/0	21577.0	50586.0
nodeidgg22	dhar	IpWildcardIpSpace{ipWildcard=200.0.134.0/24}	timeout	534112	6498706	3600190.0	3600190.0	3600190.0	3600.19	3600.19	3600.19	1066.0	GigabitEthernet0/0	21577.0	50586.0
wilmington	anderlecht	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	timeout	634284	6396711	3600180.0	3600180.0	3600180.0	3600.179	3600.179	3600.179	1043.0	GigabitEthernet0/0	21577.0	50586.0
allepey	winooski	IpWildcardIpSpace{ipWildcard=200.2.18.0/24}	timeout	818529	9842329	3600177.0	3600177.0	3600177.0	3600.177	3600.177	3600.177	1033.0	GigabitEthernet0/0	21577.0	50586.0
chicago	rowland	IpWildcardIpSpace{ipWildcard=200.1.183.0/24}	timeout	945541	9549425	5998751.0	5998751.0	5998751.0	5998.748	5998.748	5998.748	1626.0	GigabitEthernet0/0	21577.0	50586.0
bokaro	nasik	IpWildcardIpSpace{ipWildcard=200.1.59.0/24}	timeout	645141	6801740	3600181.0	3600181.0	3600181.0	3600.18	3600.18	3600.18	1195.0	GigabitEthernet0/0	21577.0	50586.0
nodeidgg24	borgomanero	IpWildcardIpSpace{ipWildcard=200.0.71.0/24}	timeout	631419	5847591	3600161.0	3600161.0	3600161.0	3600.159	3600.159	3600.159	1214.0	GigabitEthernet0/0	21577.0	50586.0
jhansi	ogdensburg	IpWildcardIpSpace{ipWildcard=200.1.118.0/24}	timeout	581566	6290237	3600173.0	3600173.0	3600173.0	3600.172	3600.172	3600.172	1122.0	GigabitEthernet0/0	21577.0	50586.0
lugano	utica	IpWildcardIpSpace{ipWildcard=200.1.243.0/24}	unsat	457221	4637325	2803691.0	2803691.0	2803691.0	2803.691	2803.691	2803.691	1326.0	GigabitEthernet0/0	21577.0	50586.0
jacksonville	damoh	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	timeout	525017	6369281	3600162.0	3600162.0	3600162.0	3600.161	3600.161	3600.161	1189.0	GigabitEthernet0/0	21577.0	50586.0
meridian	firenze	IpWildcardIpSpace{ipWildcard=200.0.157.0/24}	timeout	2858477	24600294	12227510.0	12227510.0	12227510.0	12227.508	12227.508	12227.508	1393.0	GigabitEthernet0/0	21577.0	50586.0
reading	newnah	IpWildcardIpSpace{ipWildcard=200.1.64.0/24}	unsat	269224	2967250	1634823.0	1634823.0	1634823.0	1634.822	1634.822	1634.822	1201.0	GigabitEthernet0/0	21577.0	50586.0
raichur	belgaum	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	unsat	541197	5169642	3401496.0	3401496.0	3401496.0	3401.495	3401.495	3401.495	1200.0	GigabitEthernet0/0	21577.0	50586.0
newport	alexanderttcity	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	timeout	582280	5602854	3600221.0	3600221.0	3600221.0	3600.22	3600.22	3600.22	1164.0	GigabitEthernet0/0	21577.0	50586.0
kanchipuram	geneve	IpWildcardIpSpace{ipWildcard=200.0.170.0/24}	timeout	766432	7607625	3600159.0	3600159.0	3600159.0	3600.158	3600.158	3600.158	1165.0	GigabitEthernet0/0	21577.0	50586.0
ghaziabad	rochester	IpWildcardIpSpace{ipWildcard=200.1.175.0/24}	timeout	579613	5136210	3600182.0	3600182.0	3600182.0	3600.181	3600.181	3600.181	1255.0	GigabitEthernet0/0	21577.0	50586.0
