srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
bristolidhh150	newttyork	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	sat	686	36378	5100.0	5100.0	5100.0	5.099	5.099	5.099	1144.0	GigabitEthernet0/0	21577.0	49369.0
savannah	norfolk	IpWildcardIpSpace{ipWildcard=200.1.111.0/24}	sat	681	31777	5179.0	5179.0	5179.0	5.178	5.178	5.178	1255.0	GigabitEthernet0/0	21577.0	49369.0
memphis	stttpollen	IpWildcardIpSpace{ipWildcard=200.1.214.0/24}	sat	678	181869	24943.0	24943.0	24943.0	24.942	24.942	24.942	1164.0	GigabitEthernet0/0	21577.0	49369.0
putnamttvalley	elmira	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	sat	686	48700	5436.0	5436.0	5436.0	5.435	5.435	5.435	1084.0	GigabitEthernet0/0	21577.0	49369.0
chandrapur	nodeidgh97	IpWildcardIpSpace{ipWildcard=200.1.101.0/24}	sat	678	179461	28417.0	28417.0	28417.0	28.416	28.416	28.416	1217.0	GigabitEthernet0/0	21577.0	49369.0
bari	gaya	IpWildcardIpSpace{ipWildcard=200.0.168.0/24}	sat	698	42409	5324.0	5324.0	5324.0	5.323	5.323	5.323	1217.0	GigabitEthernet0/0	21577.0	49369.0
benningtown	hamilton	IpWildcardIpSpace{ipWildcard=200.0.190.0/24}	sat	682	46049	5197.0	5197.0	5197.0	5.197	5.197	5.197	1035.0	GigabitEthernet0/0	21577.0	49369.0
burdett	corning	IpWildcardIpSpace{ipWildcard=200.0.119.0/24}	sat	694	47174	6096.0	6096.0	6096.0	6.096	6.096	6.096	1270.0	GigabitEthernet0/0	21577.0	49369.0
zurich	sonipat	IpWildcardIpSpace{ipWildcard=200.1.209.0/24}	sat	678	183156	23542.0	23542.0	23542.0	23.541	23.541	23.541	1059.0	GigabitEthernet0/0	21577.0	49369.0
allahabad	lucknow	IpWildcardIpSpace{ipWildcard=200.1.11.0/24}	sat	38303	1079284	274249.0	274249.0	274249.0	274.248	274.248	274.248	1083.0	GigabitEthernet0/0	21577.0	49369.0
altmar	cologne	IpWildcardIpSpace{ipWildcard=200.0.114.0/24}	sat	686	24415	5456.0	5456.0	5456.0	5.455	5.455	5.455	1056.0	GigabitEthernet0/0	21577.0	49369.0
nodeidgg123	salamanca	IpWildcardIpSpace{ipWildcard=200.1.186.0/24}	sat	679	38400	5894.0	5894.0	5894.0	5.894	5.894	5.894	1233.0	GigabitEthernet0/0	21577.0	49369.0
brescia	wardha	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	sat	690	72704	5651.0	5651.0	5651.0	5.651	5.651	5.651	1091.0	GigabitEthernet0/0	21577.0	49369.0
margaretsville	palermo	IpWildcardIpSpace{ipWildcard=200.1.129.0/24}	sat	679	60143	5796.0	5796.0	5796.0	5.795	5.795	5.795	1038.0	GigabitEthernet0/0	21577.0	49369.0
southttcanaan	gainesville	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	sat	685	29755	5315.0	5315.0	5315.0	5.314	5.314	5.314	1064.0	GigabitEthernet0/0	21577.0	49369.0
nodeidgh111	dothan	IpWildcardIpSpace{ipWildcard=200.0.139.0/24}	sat	678	181250	23341.0	23341.0	23341.0	23.34	23.34	23.34	1073.0	GigabitEthernet0/0	21577.0	49369.0
mysore	stockholm	IpWildcardIpSpace{ipWildcard=200.1.211.0/24}	sat	678	179323	26602.0	26602.0	26602.0	26.601	26.601	26.601	1201.0	GigabitEthernet0/0	21577.0	49369.0
alexandria	harriman	IpWildcardIpSpace{ipWildcard=200.0.193.0/24}	sat	678	179580	25217.0	25217.0	25217.0	25.217	25.217	25.217	1251.0	GigabitEthernet0/0	21577.0	49369.0
poitiers	bielbienne	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	sat	701	44380	5516.0	5516.0	5516.0	5.516	5.516	5.516	1037.0	GigabitEthernet0/0	21577.0	49369.0
monroeidgh21	raipur	IpWildcardIpSpace{ipWildcard=200.1.162.0/24}	sat	240319	4077464	1189806.0	1189806.0	1189806.0	1189.805	1189.805	1189.805	1035.0	GigabitEthernet0/0	21577.0	49369.0
mobile	tampa	IpWildcardIpSpace{ipWildcard=200.1.222.0/24}	sat	3610	265045	41355.0	41355.0	41355.0	41.354	41.354	41.354	1169.0	GigabitEthernet0/0	21577.0	49369.0
sylva	houston	IpWildcardIpSpace{ipWildcard=200.0.206.0/24}	sat	678	180940	26070.0	26070.0	26070.0	26.069	26.069	26.069	1092.0	GigabitEthernet0/0	21577.0	49369.0
valsad	goa	IpWildcardIpSpace{ipWildcard=200.0.176.0/24}	sat	678	178915	23617.0	23617.0	23617.0	23.617	23.617	23.617	1036.0	GigabitEthernet0/0	21577.0	49369.0
canton	jacksonidgh91	IpWildcardIpSpace{ipWildcard=200.0.217.0/24}	sat	677	24709	5545.0	5545.0	5545.0	5.544	5.544	5.544	1075.0	GigabitEthernet0/0	21577.0	49369.0
lakettcharles	nodeidgg92	IpWildcardIpSpace{ipWildcard=200.1.87.0/24}	sat	683	47195	5616.0	5616.0	5616.0	5.615	5.615	5.615	1032.0	GigabitEthernet0/0	21577.0	49369.0
liege	bhopal	IpWildcardIpSpace{ipWildcard=200.0.59.0/24}	sat	680	63262	5739.0	5739.0	5739.0	5.738	5.738	5.738	1032.0	GigabitEthernet0/0	21577.0	49369.0
himmatnagar	nodeidgg31	IpWildcardIpSpace{ipWildcard=200.1.83.0/24}	sat	718	20958	5534.0	5534.0	5534.0	5.533	5.533	5.533	1017.0	GigabitEthernet0/0	21577.0	49369.0
brussels	genova	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	679	59920	5723.0	5723.0	5723.0	5.722	5.722	5.722	1169.0	GigabitEthernet0/0	21577.0	49369.0
dijon	raleigh	IpWildcardIpSpace{ipWildcard=200.1.164.0/24}	sat	24079	503554	115715.0	115715.0	115715.0	115.715	115.715	115.715	1250.0	GigabitEthernet0/0	21577.0	49369.0
newnah	gloversville	IpWildcardIpSpace{ipWildcard=200.0.175.0/24}	sat	682	30402	4873.0	4873.0	4873.0	4.873	4.873	4.873	1246.0	GigabitEthernet0/0	21577.0	49369.0
ludhiana	manchester	IpWildcardIpSpace{ipWildcard=200.1.22.0/24}	sat	678	36490	5229.0	5229.0	5229.0	5.228	5.228	5.228	1286.0	GigabitEthernet0/0	21577.0	49369.0
rimini	nodeidgg30	IpWildcardIpSpace{ipWildcard=200.1.82.0/24}	sat	679	22668	5757.0	5757.0	5757.0	5.757	5.757	5.757	1208.0	GigabitEthernet0/0	21577.0	49369.0
callicut	zug	IpWildcardIpSpace{ipWildcard=200.2.23.0/24}	sat	682	67843	6145.0	6145.0	6145.0	6.144	6.144	6.144	1030.0	GigabitEthernet0/0	21577.0	49369.0
akola	meerut	IpWildcardIpSpace{ipWildcard=200.1.30.0/24}	sat	679	37271	5744.0	5744.0	5744.0	5.743	5.743	5.743	1043.0	GigabitEthernet0/0	21577.0	49369.0
barreidgg104	chazy	IpWildcardIpSpace{ipWildcard=200.0.104.0/24}	sat	684	30115	5711.0	5711.0	5711.0	5.711	5.711	5.711	1051.0	GigabitEthernet0/0	21577.0	49369.0
nodeidgg22	dhar	IpWildcardIpSpace{ipWildcard=200.0.134.0/24}	sat	678	179931	21984.0	21984.0	21984.0	21.984	21.984	21.984	1033.0	GigabitEthernet0/0	21577.0	49369.0
wilmington	anderlecht	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	683	34012	5827.0	5827.0	5827.0	5.827	5.827	5.827	1016.0	GigabitEthernet0/0	21577.0	49369.0
allepey	winooski	IpWildcardIpSpace{ipWildcard=200.2.18.0/24}	sat	738	44131	6144.0	6144.0	6144.0	6.143	6.143	6.143	1048.0	GigabitEthernet0/0	21577.0	49369.0
chicago	rowland	IpWildcardIpSpace{ipWildcard=200.1.183.0/24}	sat	681	25268	5116.0	5116.0	5116.0	5.114	5.114	5.114	1249.0	GigabitEthernet0/0	21577.0	49369.0
bokaro	nasik	IpWildcardIpSpace{ipWildcard=200.1.59.0/24}	sat	678	180233	21904.0	21904.0	21904.0	21.904	21.904	21.904	1028.0	GigabitEthernet0/0	21577.0	49369.0
nodeidgg24	borgomanero	IpWildcardIpSpace{ipWildcard=200.0.71.0/24}	sat	679	60422	5302.0	5302.0	5302.0	5.301	5.301	5.301	1233.0	GigabitEthernet0/0	21577.0	49369.0
jhansi	ogdensburg	IpWildcardIpSpace{ipWildcard=200.1.118.0/24}	sat	684	35726	6038.0	6038.0	6038.0	6.038	6.038	6.038	1058.0	GigabitEthernet0/0	21577.0	49369.0
lugano	utica	IpWildcardIpSpace{ipWildcard=200.1.243.0/24}	sat	682	35593	6324.0	6324.0	6324.0	6.324	6.324	6.324	1218.0	GigabitEthernet0/0	21577.0	49369.0
jacksonville	damoh	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	sat	694	73917	5635.0	5635.0	5635.0	5.634	5.634	5.634	1169.0	GigabitEthernet0/0	21577.0	49369.0
