srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
bristolidhh150	newttyork	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	sat	38203	247752	137324.0	137324.0	137324.0	137.323	137.323	137.323	1131.0	GigabitEthernet0/0	21577.0	50586.0
savannah	norfolk	IpWildcardIpSpace{ipWildcard=200.1.111.0/24}	sat	65090	283216	243127.0	243127.0	243127.0	243.126	243.126	243.126	1202.0	GigabitEthernet0/0	21577.0	50586.0
memphis	stttpollen	IpWildcardIpSpace{ipWildcard=200.1.214.0/24}	sat	62566	301263	177190.0	177190.0	177190.0	177.189	177.189	177.189	1163.0	GigabitEthernet0/0	21577.0	50586.0
putnamttvalley	elmira	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	sat	62653	291940	220275.0	220275.0	220275.0	220.273	220.273	220.273	1463.0	GigabitEthernet0/0	21577.0	50586.0
chandrapur	nodeidgh97	IpWildcardIpSpace{ipWildcard=200.1.101.0/24}	sat	44720	240742	180903.0	180903.0	180903.0	180.902	180.902	180.902	1276.0	GigabitEthernet0/0	21577.0	50586.0
bari	gaya	IpWildcardIpSpace{ipWildcard=200.0.168.0/24}	sat	61082	300989	222244.0	222244.0	222244.0	222.243	222.243	222.243	1198.0	GigabitEthernet0/0	21577.0	50586.0
benningtown	hamilton	IpWildcardIpSpace{ipWildcard=200.0.190.0/24}	sat	64109	289192	236131.0	236131.0	236131.0	236.13	236.13	236.13	1044.0	GigabitEthernet0/0	21577.0	50586.0
burdett	corning	IpWildcardIpSpace{ipWildcard=200.0.119.0/24}	sat	69025	304100	300607.0	300607.0	300607.0	300.605	300.605	300.605	1255.0	GigabitEthernet0/0	21577.0	50586.0
zurich	sonipat	IpWildcardIpSpace{ipWildcard=200.1.209.0/24}	sat	57080	255570	186312.0	186312.0	186312.0	186.312	186.312	186.312	1080.0	GigabitEthernet0/0	21577.0	50586.0
allahabad	lucknow	IpWildcardIpSpace{ipWildcard=200.1.11.0/24}	sat	49341	230546	197590.0	197590.0	197590.0	197.589	197.589	197.589	1070.0	GigabitEthernet0/0	21577.0	50586.0
altmar	cologne	IpWildcardIpSpace{ipWildcard=200.0.114.0/24}	sat	53382	246625	209625.0	209625.0	209625.0	209.623	209.623	209.623	1279.0	GigabitEthernet0/0	21577.0	50586.0
nodeidgg123	salamanca	IpWildcardIpSpace{ipWildcard=200.1.186.0/24}	sat	74080	336695	280992.0	280992.0	280992.0	280.991	280.991	280.991	1057.0	GigabitEthernet0/0	21577.0	50586.0
brescia	wardha	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	sat	63065	277730	213626.0	213626.0	213626.0	213.625	213.625	213.625	1054.0	GigabitEthernet0/0	21577.0	50586.0
margaretsville	palermo	IpWildcardIpSpace{ipWildcard=200.1.129.0/24}	sat	85350	336838	302599.0	302599.0	302599.0	302.598	302.598	302.598	1051.0	GigabitEthernet0/0	21577.0	50586.0
southttcanaan	gainesville	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	sat	47039	265293	129622.0	129622.0	129622.0	129.621	129.621	129.621	1118.0	GigabitEthernet0/0	21577.0	50586.0
nodeidgh111	dothan	IpWildcardIpSpace{ipWildcard=200.0.139.0/24}	sat	46873	253202	174359.0	174359.0	174359.0	174.358	174.358	174.358	1159.0	GigabitEthernet0/0	21577.0	50586.0
mysore	stockholm	IpWildcardIpSpace{ipWildcard=200.1.211.0/24}	sat	47720	249289	200723.0	200723.0	200723.0	200.723	200.723	200.723	1214.0	GigabitEthernet0/0	21577.0	50586.0
alexandria	harriman	IpWildcardIpSpace{ipWildcard=200.0.193.0/24}	sat	67243	308562	288335.0	288335.0	288335.0	288.333	288.333	288.333	1057.0	GigabitEthernet0/0	21577.0	50586.0
poitiers	bielbienne	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	sat	52796	274773	161133.0	161133.0	161133.0	161.132	161.132	161.132	1034.0	GigabitEthernet0/0	21577.0	50586.0
monroeidgh21	raipur	IpWildcardIpSpace{ipWildcard=200.1.162.0/24}	sat	63776	289145	203486.0	203486.0	203486.0	203.485	203.485	203.485	1277.0	GigabitEthernet0/0	21577.0	50586.0
mobile	tampa	IpWildcardIpSpace{ipWildcard=200.1.222.0/24}	sat	49030	250791	171681.0	171681.0	171681.0	171.68	171.68	171.68	1072.0	GigabitEthernet0/0	21577.0	50586.0
sylva	houston	IpWildcardIpSpace{ipWildcard=200.0.206.0/24}	sat	72328	299954	275774.0	275774.0	275774.0	275.773	275.773	275.773	1048.0	GigabitEthernet0/0	21577.0	50586.0
valsad	goa	IpWildcardIpSpace{ipWildcard=200.0.176.0/24}	sat	47357	249164	178493.0	178493.0	178493.0	178.492	178.492	178.492	1048.0	GigabitEthernet0/0	21577.0	50586.0
canton	jacksonidgh91	IpWildcardIpSpace{ipWildcard=200.0.217.0/24}	sat	72288	298575	245172.0	245172.0	245172.0	245.171	245.171	245.171	1065.0	GigabitEthernet0/0	21577.0	50586.0
lakettcharles	nodeidgg92	IpWildcardIpSpace{ipWildcard=200.1.87.0/24}	sat	58540	288257	209661.0	209661.0	209661.0	209.66	209.66	209.66	1041.0	GigabitEthernet0/0	21577.0	50586.0
liege	bhopal	IpWildcardIpSpace{ipWildcard=200.0.59.0/24}	sat	52176	250902	137838.0	137838.0	137838.0	137.836	137.836	137.836	1171.0	GigabitEthernet0/0	21577.0	50586.0
himmatnagar	nodeidgg31	IpWildcardIpSpace{ipWildcard=200.1.83.0/24}	sat	58693	273098	167117.0	167117.0	167117.0	167.117	167.117	167.117	1019.0	GigabitEthernet0/0	21577.0	50586.0
brussels	genova	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	53799	242580	183713.0	183713.0	183713.0	183.712	183.712	183.712	1227.0	GigabitEthernet0/0	21577.0	50586.0
dijon	raleigh	IpWildcardIpSpace{ipWildcard=200.1.164.0/24}	sat	68845	292247	295057.0	295057.0	295057.0	295.056	295.056	295.056	1056.0	GigabitEthernet0/0	21577.0	50586.0
newnah	gloversville	IpWildcardIpSpace{ipWildcard=200.0.175.0/24}	sat	50534	256615	137593.0	137593.0	137593.0	137.592	137.592	137.592	1365.0	GigabitEthernet0/0	21577.0	50586.0
ludhiana	manchester	IpWildcardIpSpace{ipWildcard=200.1.22.0/24}	sat	69097	322186	237349.0	237349.0	237349.0	237.348	237.348	237.348	1261.0	GigabitEthernet0/0	21577.0	50586.0
rimini	nodeidgg30	IpWildcardIpSpace{ipWildcard=200.1.82.0/24}	sat	58380	288849	206122.0	206122.0	206122.0	206.121	206.121	206.121	1218.0	GigabitEthernet0/0	21577.0	50586.0
callicut	zug	IpWildcardIpSpace{ipWildcard=200.2.23.0/24}	sat	55384	289843	208421.0	208421.0	208421.0	208.42	208.42	208.42	1065.0	GigabitEthernet0/0	21577.0	50586.0
akola	meerut	IpWildcardIpSpace{ipWildcard=200.1.30.0/24}	sat	60131	299443	206050.0	206050.0	206050.0	206.049	206.049	206.049	1034.0	GigabitEthernet0/0	21577.0	50586.0
barreidgg104	chazy	IpWildcardIpSpace{ipWildcard=200.0.104.0/24}	sat	68712	302547	254493.0	254493.0	254493.0	254.492	254.492	254.492	1037.0	GigabitEthernet0/0	21577.0	50586.0
nodeidgg22	dhar	IpWildcardIpSpace{ipWildcard=200.0.134.0/24}	sat	61165	297683	207288.0	207288.0	207288.0	207.288	207.288	207.288	1046.0	GigabitEthernet0/0	21577.0	50586.0
wilmington	anderlecht	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	45175	256995	149252.0	149252.0	149252.0	149.251	149.251	149.251	1026.0	GigabitEthernet0/0	21577.0	50586.0
allepey	winooski	IpWildcardIpSpace{ipWildcard=200.2.18.0/24}	sat	65875	321000	241685.0	241685.0	241685.0	241.685	241.685	241.685	1056.0	GigabitEthernet0/0	21577.0	50586.0
chicago	rowland	IpWildcardIpSpace{ipWildcard=200.1.183.0/24}	sat	66838	293264	239920.0	239920.0	239920.0	239.919	239.919	239.919	1123.0	GigabitEthernet0/0	21577.0	50586.0
bokaro	nasik	IpWildcardIpSpace{ipWildcard=200.1.59.0/24}	sat	60837	298331	196568.0	196568.0	196568.0	196.567	196.567	196.567	1046.0	GigabitEthernet0/0	21577.0	50586.0
nodeidgg24	borgomanero	IpWildcardIpSpace{ipWildcard=200.0.71.0/24}	sat	56693	286545	175602.0	175602.0	175602.0	175.601	175.601	175.601	1095.0	GigabitEthernet0/0	21577.0	50586.0
jhansi	ogdensburg	IpWildcardIpSpace{ipWildcard=200.1.118.0/24}	sat	61764	275142	189230.0	189230.0	189230.0	189.229	189.229	189.229	1047.0	GigabitEthernet0/0	21577.0	50586.0
lugano	utica	IpWildcardIpSpace{ipWildcard=200.1.243.0/24}	sat	48347	236711	203887.0	203887.0	203887.0	203.886	203.886	203.886	1054.0	GigabitEthernet0/0	21577.0	50586.0
jacksonville	damoh	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	sat	54212	255181	193488.0	193488.0	193488.0	193.487	193.487	193.487	1106.0	GigabitEthernet0/0	21577.0	50586.0
meridian	firenze	IpWildcardIpSpace{ipWildcard=200.0.157.0/24}	sat	54605	278894	162502.0	162502.0	162502.0	162.501	162.501	162.501	1136.0	GigabitEthernet0/0	21577.0	50586.0
reading	newnah	IpWildcardIpSpace{ipWildcard=200.1.64.0/24}	sat	43522	246235	114327.0	114327.0	114327.0	114.327	114.327	114.327	1164.0	GigabitEthernet0/0	21577.0	50586.0
raichur	belgaum	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	72129	327279	212421.0	212421.0	212421.0	212.42	212.42	212.42	1626.0	GigabitEthernet0/0	21577.0	50586.0
newport	alexanderttcity	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	62527	308964	191988.0	191988.0	191988.0	191.987	191.987	191.987	1108.0	GigabitEthernet0/0	21577.0	50586.0
kanchipuram	geneve	IpWildcardIpSpace{ipWildcard=200.0.170.0/24}	sat	49288	243156	199743.0	199743.0	199743.0	199.742	199.742	199.742	1169.0	GigabitEthernet0/0	21577.0	50586.0
ghaziabad	rochester	IpWildcardIpSpace{ipWildcard=200.1.175.0/24}	sat	47097	240250	170591.0	170591.0	170591.0	170.59	170.59	170.59	1188.0	GigabitEthernet0/0	21577.0	50586.0
