srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nancy	bordeaux	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	unsat	557	1491	227.0	227.0	227.0	0.225	0.225	0.225	211.0	GigabitEthernet0/0	1413.0	3291.0
nodeid13	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	unsat	329	1035	177.0	177.0	177.0	0.177	0.177	0.177	87.0	GigabitEthernet0/0	1413.0	3291.0
cadarache	rouen	IpWildcardIpSpace{ipWildcard=200.0.30.0/24}	unsat	536	1787	213.0	213.0	213.0	0.212	0.212	0.212	105.0	GigabitEthernet0/0	1413.0	3291.0
nodeid13	paris	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	350	1125	148.0	148.0	148.0	0.147	0.147	0.147	99.0	GigabitEthernet0/0	1413.0	3291.0
cadarache	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	unsat	208	651	142.0	142.0	142.0	0.141	0.141	0.141	90.0	GigabitEthernet0/0	1413.0	3291.0
corte	compiegne	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	unsat	539	1496	196.0	196.0	196.0	0.195	0.195	0.195	77.0	GigabitEthernet0/0	1413.0	3291.0
internetttmondial	clermontferrand	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	unsat	475	1016	200.0	200.0	200.0	0.2	0.2	0.2	79.0	GigabitEthernet0/0	1413.0	3291.0
grenoble	orleans	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	unsat	467	1414	190.0	190.0	190.0	0.189	0.189	0.189	75.0	GigabitEthernet0/0	1413.0	3291.0
dijon	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	157	590	114.0	114.0	114.0	0.113	0.113	0.113	113.0	GigabitEthernet0/0	1413.0	3291.0
internetttmondial	nancy	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	367	1063	154.0	154.0	154.0	0.153	0.153	0.153	77.0	GigabitEthernet0/0	1413.0	3291.0
peerclermontferrand0	pau	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	unsat	347	872	175.0	175.0	175.0	0.174	0.174	0.174	76.0	GigabitEthernet0/0	1413.0	3291.0
pau	cern	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	unsat	503	1128	214.0	214.0	214.0	0.213	0.213	0.213	79.0	GigabitEthernet0/0	1413.0	3291.0
pau	nodeid13	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	unsat	498	1364	180.0	180.0	180.0	0.18	0.18	0.18	77.0	GigabitEthernet0/0	1413.0	3291.0
geant2	lattreunionttnouvellettcaledoniettmayottetttahiti	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	unsat	307	876	153.0	153.0	153.0	0.152	0.152	0.152	72.0	GigabitEthernet0/0	1413.0	3291.0
peerclermontferrand0	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	305	1048	157.0	157.0	157.0	0.156	0.156	0.156	82.0	GigabitEthernet0/0	1413.0	3291.0
rennes	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	301	899	141.0	141.0	141.0	0.141	0.141	0.141	105.0	GigabitEthernet0/0	1413.0	3291.0
bordeaux	poiters	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	186	742	122.0	122.0	122.0	0.122	0.122	0.122	133.0	GigabitEthernet0/0	1413.0	3291.0
rennes	nice	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	unsat	454	976	183.0	183.0	183.0	0.182	0.182	0.182	80.0	GigabitEthernet0/0	1413.0	3291.0
lyon	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	303	986	186.0	186.0	186.0	0.185	0.185	0.185	111.0	GigabitEthernet0/0	1413.0	3291.0
geant2	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	145	575	117.0	117.0	117.0	0.116	0.116	0.116	92.0	GigabitEthernet0/0	1413.0	3291.0
orleans	nantes	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	unsat	268	891	154.0	154.0	154.0	0.152	0.152	0.152	90.0	GigabitEthernet0/0	1413.0	3291.0
nancy	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	unsat	299	771	154.0	154.0	154.0	0.154	0.154	0.154	77.0	GigabitEthernet0/0	1413.0	3291.0
compiegne	cadarache	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	unsat	268	735	157.0	157.0	157.0	0.156	0.156	0.156	75.0	GigabitEthernet0/0	1413.0	3291.0
caen	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	unsat	451	1234	180.0	180.0	180.0	0.18	0.18	0.18	81.0	GigabitEthernet0/0	1413.0	3291.0
clermontferrand	nice	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	unsat	401	997	173.0	173.0	173.0	0.172	0.172	0.172	77.0	GigabitEthernet0/0	1413.0	3291.0
nancy	internetttmondial	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	751	1842	245.0	245.0	245.0	0.245	0.245	0.245	75.0	GigabitEthernet0/0	1413.0	3291.0
poiters	peerclermontferrand0	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	unsat	332	1028	145.0	145.0	145.0	0.144	0.144	0.144	74.0	GigabitEthernet0/0	1413.0	3291.0
grenoble	geant2	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	541	1377	189.0	189.0	189.0	0.188	0.188	0.188	72.0	GigabitEthernet0/0	1413.0	3291.0
caen	besancon	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	unsat	464	1335	186.0	186.0	186.0	0.185	0.185	0.185	76.0	GigabitEthernet0/0	1413.0	3291.0
nantes	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	254	918	147.0	147.0	147.0	0.146	0.146	0.146	82.0	GigabitEthernet0/0	1413.0	3291.0
orleans	peerclermontferrand0	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	unsat	446	1126	158.0	158.0	158.0	0.157	0.157	0.157	121.0	GigabitEthernet0/0	1413.0	3291.0
poiters	cern	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	unsat	506	1115	192.0	192.0	192.0	0.192	0.192	0.192	76.0	GigabitEthernet0/0	1413.0	3291.0
besancon	internetttmondial	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	651	1584	218.0	218.0	218.0	0.217	0.217	0.217	75.0	GigabitEthernet0/0	1413.0	3291.0
nice	marseille	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	389	979	162.0	162.0	162.0	0.161	0.161	0.161	81.0	GigabitEthernet0/0	1413.0	3291.0
rouen	marseille	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	396	983	167.0	167.0	167.0	0.167	0.167	0.167	107.0	GigabitEthernet0/0	1413.0	3291.0
sfinx	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	unsat	326	995	167.0	167.0	167.0	0.167	0.167	0.167	75.0	GigabitEthernet0/0	1413.0	3291.0
strasbourg	montpellier	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	unsat	447	1173	182.0	182.0	182.0	0.181	0.181	0.181	125.0	GigabitEthernet0/0	1413.0	3291.0
nice	besancon	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	unsat	392	1081	172.0	172.0	172.0	0.171	0.171	0.171	75.0	GigabitEthernet0/0	1413.0	3291.0
lille	paris	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	1	0	72.0	72.0	72.0	0.072	0.072	0.072	90.0	GigabitEthernet0/0	1413.0	3291.0
corte	clermontferrand	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	unsat	431	888	184.0	184.0	184.0	0.183	0.183	0.183	77.0	GigabitEthernet0/0	1413.0	3291.0
marseille	poiters	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	441	1437	184.0	184.0	184.0	0.183	0.183	0.183	84.0	GigabitEthernet0/0	1413.0	3291.0
martiniquettguadeloupettcayenne	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	unsat	407	1281	188.0	188.0	188.0	0.187	0.187	0.187	76.0	GigabitEthernet0/0	1413.0	3291.0
caen	sfinx	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	unsat	459	1410	189.0	189.0	189.0	0.189	0.189	0.189	69.0	GigabitEthernet0/0	1413.0	3291.0
paris	rouen	IpWildcardIpSpace{ipWildcard=200.0.30.0/24}	unsat	567	2005	191.0	191.0	191.0	0.191	0.191	0.191	84.0	GigabitEthernet0/0	1413.0	3291.0
lille	reims	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	unsat	389	902	161.0	161.0	161.0	0.159	0.159	0.159	77.0	GigabitEthernet0/0	1413.0	3291.0
paris	grenoble	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	unsat	656	1425	196.0	196.0	196.0	0.195	0.195	0.195	81.0	GigabitEthernet0/0	1413.0	3291.0
sfinx	dijon	IpWildcardIpSpace{ipWildcard=200.0.8.0/24}	unsat	468	1130	179.0	179.0	179.0	0.178	0.178	0.178	71.0	GigabitEthernet0/0	1413.0	3291.0
