srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nancy	bordeaux	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	unsat	9164	22549	2902.0	2902.0	2902.0	2.902	2.902	2.902	98.0	GigabitEthernet0/0	1413.0	3214.0
nodeid13	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	unsat	1187	3282	393.0	393.0	393.0	0.392	0.392	0.392	88.0	GigabitEthernet0/0	1413.0	3214.0
cadarache	rouen	IpWildcardIpSpace{ipWildcard=200.0.30.0/24}	unsat	1609	4417	409.0	409.0	409.0	0.409	0.409	0.409	103.0	GigabitEthernet0/0	1413.0	3214.0
nodeid13	paris	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	2598	7222	646.0	646.0	646.0	0.645	0.645	0.645	103.0	GigabitEthernet0/0	1413.0	3214.0
cadarache	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	unsat	1819	3467	471.0	471.0	471.0	0.47	0.47	0.47	87.0	GigabitEthernet0/0	1413.0	3214.0
corte	compiegne	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	unsat	3421	8611	835.0	835.0	835.0	0.835	0.835	0.835	75.0	GigabitEthernet0/0	1413.0	3214.0
internetttmondial	clermontferrand	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	unsat	2323	5414	658.0	658.0	658.0	0.658	0.658	0.658	80.0	GigabitEthernet0/0	1413.0	3214.0
grenoble	orleans	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	unsat	2932	10937	731.0	731.0	731.0	0.73	0.73	0.73	76.0	GigabitEthernet0/0	1413.0	3214.0
dijon	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	684	2304	282.0	282.0	282.0	0.282	0.282	0.282	92.0	GigabitEthernet0/0	1413.0	3214.0
internetttmondial	nancy	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	3619	8548	903.0	903.0	903.0	0.902	0.902	0.902	76.0	GigabitEthernet0/0	1413.0	3214.0
peerclermontferrand0	pau	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	unsat	1539	3771	499.0	499.0	499.0	0.499	0.499	0.499	79.0	GigabitEthernet0/0	1413.0	3214.0
pau	cern	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	unsat	935	2612	280.0	280.0	280.0	0.279	0.279	0.279	79.0	GigabitEthernet0/0	1413.0	3214.0
pau	nodeid13	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	unsat	3916	10639	1005.0	1005.0	1005.0	1.004	1.004	1.004	78.0	GigabitEthernet0/0	1413.0	3214.0
geant2	lattreunionttnouvellettcaledoniettmayottetttahiti	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	unsat	3536	8272	930.0	930.0	930.0	0.93	0.93	0.93	71.0	GigabitEthernet0/0	1413.0	3214.0
peerclermontferrand0	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	1473	4038	342.0	342.0	342.0	0.341	0.341	0.341	83.0	GigabitEthernet0/0	1413.0	3214.0
rennes	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	2658	6668	570.0	570.0	570.0	0.57	0.57	0.57	102.0	GigabitEthernet0/0	1413.0	3214.0
bordeaux	poiters	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	1994	5682	605.0	605.0	605.0	0.604	0.604	0.604	93.0	GigabitEthernet0/0	1413.0	3214.0
rennes	nice	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	unsat	3743	7880	995.0	995.0	995.0	0.995	0.995	0.995	79.0	GigabitEthernet0/0	1413.0	3214.0
lyon	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	1057	4111	348.0	348.0	348.0	0.347	0.347	0.347	84.0	GigabitEthernet0/0	1413.0	3214.0
geant2	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	1136	3595	460.0	460.0	460.0	0.459	0.459	0.459	88.0	GigabitEthernet0/0	1413.0	3214.0
orleans	nantes	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	unsat	2672	6209	842.0	842.0	842.0	0.841	0.841	0.841	92.0	GigabitEthernet0/0	1413.0	3214.0
nancy	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	unsat	2930	6566	911.0	911.0	911.0	0.91	0.91	0.91	82.0	GigabitEthernet0/0	1413.0	3214.0
compiegne	cadarache	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	unsat	3327	6336	939.0	939.0	939.0	0.938	0.938	0.938	71.0	GigabitEthernet0/0	1413.0	3214.0
caen	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	unsat	4468	9301	1165.0	1165.0	1165.0	1.165	1.165	1.165	78.0	GigabitEthernet0/0	1413.0	3214.0
clermontferrand	nice	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	unsat	1322	3789	476.0	476.0	476.0	0.475	0.475	0.475	74.0	GigabitEthernet0/0	1413.0	3214.0
nancy	internetttmondial	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	3426	8053	706.0	706.0	706.0	0.705	0.705	0.705	74.0	GigabitEthernet0/0	1413.0	3214.0
poiters	peerclermontferrand0	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	unsat	465	1460	178.0	178.0	178.0	0.177	0.177	0.177	75.0	GigabitEthernet0/0	1413.0	3214.0
grenoble	geant2	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	1720	4908	445.0	445.0	445.0	0.444	0.444	0.444	70.0	GigabitEthernet0/0	1413.0	3214.0
caen	besancon	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	unsat	2953	7854	903.0	903.0	903.0	0.902	0.902	0.902	76.0	GigabitEthernet0/0	1413.0	3214.0
nantes	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	439	1321	186.0	186.0	186.0	0.185	0.185	0.185	82.0	GigabitEthernet0/0	1413.0	3214.0
orleans	peerclermontferrand0	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	unsat	1175	3090	288.0	288.0	288.0	0.287	0.287	0.287	77.0	GigabitEthernet0/0	1413.0	3214.0
