srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nancy	bordeaux	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	sat	0	11	98.0	98.0	98.0	0.097	0.097	0.097	119.0	GigabitEthernet0/0	1413.0	3214.0
nodeid13	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	0	47	90.0	90.0	90.0	0.089	0.089	0.089	91.0	GigabitEthernet0/0	1413.0	3214.0
cadarache	rouen	IpWildcardIpSpace{ipWildcard=200.0.30.0/24}	sat	0	47	81.0	81.0	81.0	0.081	0.081	0.081	93.0	GigabitEthernet0/0	1413.0	3214.0
nodeid13	paris	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	15	138	94.0	94.0	94.0	0.093	0.093	0.093	108.0	GigabitEthernet0/0	1413.0	3214.0
cadarache	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	0	8	83.0	83.0	83.0	0.082	0.082	0.082	83.0	GigabitEthernet0/0	1413.0	3214.0
corte	compiegne	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	sat	0	47	83.0	83.0	83.0	0.082	0.082	0.082	75.0	GigabitEthernet0/0	1413.0	3214.0
internetttmondial	clermontferrand	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	0	14	82.0	82.0	82.0	0.081	0.081	0.081	81.0	GigabitEthernet0/0	1413.0	3214.0
grenoble	orleans	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	0	47	82.0	82.0	82.0	0.081	0.081	0.081	76.0	GigabitEthernet0/0	1413.0	3214.0
dijon	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	6	55	86.0	86.0	86.0	0.085	0.085	0.085	93.0	GigabitEthernet0/0	1413.0	3214.0
internetttmondial	nancy	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	0	47	82.0	82.0	82.0	0.081	0.081	0.081	76.0	GigabitEthernet0/0	1413.0	3214.0
peerclermontferrand0	pau	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	0	47	82.0	82.0	82.0	0.082	0.082	0.082	77.0	GigabitEthernet0/0	1413.0	3214.0
pau	cern	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	0	47	82.0	82.0	82.0	0.081	0.081	0.081	79.0	GigabitEthernet0/0	1413.0	3214.0
pau	nodeid13	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	sat	0	16	82.0	82.0	82.0	0.082	0.082	0.082	76.0	GigabitEthernet0/0	1413.0	3214.0
geant2	lattreunionttnouvellettcaledoniettmayottetttahiti	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	0	47	82.0	82.0	82.0	0.082	0.082	0.082	71.0	GigabitEthernet0/0	1413.0	3214.0
peerclermontferrand0	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	0	47	83.0	83.0	83.0	0.082	0.082	0.082	102.0	GigabitEthernet0/0	1413.0	3214.0
rennes	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	136	654	123.0	123.0	123.0	0.122	0.122	0.122	108.0	GigabitEthernet0/0	1413.0	3214.0
