srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nancy	bordeaux	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	sat	517	2054	221.0	221.0	221.0	0.22	0.22	0.22	85.0	GigabitEthernet0/0	1413.0	3214.0
nodeid13	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	206	1708	154.0	154.0	154.0	0.153	0.153	0.153	92.0	GigabitEthernet0/0	1413.0	3214.0
cadarache	rouen	IpWildcardIpSpace{ipWildcard=200.0.30.0/24}	sat	128	1017	117.0	117.0	117.0	0.116	0.116	0.116	95.0	GigabitEthernet0/0	1413.0	3214.0
nodeid13	paris	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	702	2637	302.0	302.0	302.0	0.301	0.301	0.301	106.0	GigabitEthernet0/0	1413.0	3214.0
cadarache	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	768	2959	300.0	300.0	300.0	0.299	0.299	0.299	81.0	GigabitEthernet0/0	1413.0	3214.0
corte	compiegne	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	sat	485	1709	227.0	227.0	227.0	0.227	0.227	0.227	76.0	GigabitEthernet0/0	1413.0	3214.0
internetttmondial	clermontferrand	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	340	1742	162.0	162.0	162.0	0.161	0.161	0.161	80.0	GigabitEthernet0/0	1413.0	3214.0
grenoble	orleans	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	461	1982	187.0	187.0	187.0	0.186	0.186	0.186	76.0	GigabitEthernet0/0	1413.0	3214.0
dijon	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	514	2204	196.0	196.0	196.0	0.195	0.195	0.195	91.0	GigabitEthernet0/0	1413.0	3214.0
internetttmondial	nancy	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	507	1990	211.0	211.0	211.0	0.21	0.21	0.21	74.0	GigabitEthernet0/0	1413.0	3214.0
peerclermontferrand0	pau	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	29	226	84.0	84.0	84.0	0.083	0.083	0.083	76.0	GigabitEthernet0/0	1413.0	3214.0
pau	cern	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	513	1836	201.0	201.0	201.0	0.201	0.201	0.201	79.0	GigabitEthernet0/0	1413.0	3214.0
pau	nodeid13	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	sat	473	2576	227.0	227.0	227.0	0.226	0.226	0.226	76.0	GigabitEthernet0/0	1413.0	3214.0
geant2	lattreunionttnouvellettcaledoniettmayottetttahiti	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	336	1672	169.0	169.0	169.0	0.169	0.169	0.169	70.0	GigabitEthernet0/0	1413.0	3214.0
peerclermontferrand0	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	494	2328	215.0	215.0	215.0	0.214	0.214	0.214	95.0	GigabitEthernet0/0	1413.0	3214.0
rennes	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	556	2642	237.0	237.0	237.0	0.237	0.237	0.237	94.0	GigabitEthernet0/0	1413.0	3214.0
bordeaux	poiters	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	388	2008	197.0	197.0	197.0	0.197	0.197	0.197	89.0	GigabitEthernet0/0	1413.0	3214.0
rennes	nice	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	317	1862	159.0	159.0	159.0	0.158	0.158	0.158	77.0	GigabitEthernet0/0	1413.0	3214.0
lyon	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	623	2584	262.0	262.0	262.0	0.261	0.261	0.261	90.0	GigabitEthernet0/0	1413.0	3214.0
geant2	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	391	1972	201.0	201.0	201.0	0.201	0.201	0.201	109.0	GigabitEthernet0/0	1413.0	3214.0
orleans	nantes	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	140	1611	118.0	118.0	118.0	0.117	0.117	0.117	73.0	GigabitEthernet0/0	1413.0	3214.0
nancy	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	471	2656	206.0	206.0	206.0	0.205	0.205	0.205	81.0	GigabitEthernet0/0	1413.0	3214.0
compiegne	cadarache	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	879	2744	324.0	324.0	324.0	0.323	0.323	0.323	77.0	GigabitEthernet0/0	1413.0	3214.0
caen	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	273	1879	139.0	139.0	139.0	0.139	0.139	0.139	78.0	GigabitEthernet0/0	1413.0	3214.0
clermontferrand	nice	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	462	2412	196.0	196.0	196.0	0.196	0.196	0.196	73.0	GigabitEthernet0/0	1413.0	3214.0
nancy	internetttmondial	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	317	1813	160.0	160.0	160.0	0.159	0.159	0.159	75.0	GigabitEthernet0/0	1413.0	3214.0
poiters	peerclermontferrand0	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	1369	3475	461.0	461.0	461.0	0.461	0.461	0.461	75.0	GigabitEthernet0/0	1413.0	3214.0
grenoble	geant2	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	504	2565	237.0	237.0	237.0	0.236	0.236	0.236	71.0	GigabitEthernet0/0	1413.0	3214.0
caen	besancon	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	sat	575	3138	248.0	248.0	248.0	0.247	0.247	0.247	76.0	GigabitEthernet0/0	1413.0	3214.0
nantes	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	44	446	86.0	86.0	86.0	0.085	0.085	0.085	82.0	GigabitEthernet0/0	1413.0	3214.0
orleans	peerclermontferrand0	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	502	2541	235.0	235.0	235.0	0.234	0.234	0.234	75.0	GigabitEthernet0/0	1413.0	3214.0
poiters	cern	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	939	3544	323.0	323.0	323.0	0.322	0.322	0.322	76.0	GigabitEthernet0/0	1413.0	3214.0
besancon	internetttmondial	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	513	2352	209.0	209.0	209.0	0.208	0.208	0.208	77.0	GigabitEthernet0/0	1413.0	3214.0
nice	marseille	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	572	2889	246.0	246.0	246.0	0.246	0.246	0.246	79.0	GigabitEthernet0/0	1413.0	3214.0
rouen	marseille	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	251	1953	158.0	158.0	158.0	0.158	0.158	0.158	79.0	GigabitEthernet0/0	1413.0	3214.0
sfinx	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	1043	3074	343.0	343.0	343.0	0.343	0.343	0.343	80.0	GigabitEthernet0/0	1413.0	3214.0
strasbourg	montpellier	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	525	2347	215.0	215.0	215.0	0.214	0.214	0.214	74.0	GigabitEthernet0/0	1413.0	3214.0
nice	besancon	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	sat	447	2400	186.0	186.0	186.0	0.185	0.185	0.185	75.0	GigabitEthernet0/0	1413.0	3214.0
lille	paris	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	192	1395	130.0	130.0	130.0	0.129	0.129	0.129	95.0	GigabitEthernet0/0	1413.0	3214.0
corte	clermontferrand	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	512	2536	230.0	230.0	230.0	0.229	0.229	0.229	74.0	GigabitEthernet0/0	1413.0	3214.0
marseille	poiters	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	335	2031	175.0	175.0	175.0	0.174	0.174	0.174	83.0	GigabitEthernet0/0	1413.0	3214.0
martiniquettguadeloupettcayenne	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	203	961	122.0	122.0	122.0	0.121	0.121	0.121	75.0	GigabitEthernet0/0	1413.0	3214.0
caen	sfinx	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	sat	513	2169	216.0	216.0	216.0	0.215	0.215	0.215	69.0	GigabitEthernet0/0	1413.0	3214.0
