srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
noida	margaretsville	IpWildcardIpSpace{ipWildcard=200.1.73.0/24}	unsat	64023	293739	231831.0	231831.0	231831.0	231.829	231.829	231.829	1565.0	GigabitEthernet0/0	24387.0	57200.0
valencia	chitradurg	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	unsat	77643	342401	334349.0	334349.0	334349.0	334.348	334.348	334.348	1299.0	GigabitEthernet0/0	24387.0	57200.0
miami	hadiagarh	IpWildcardIpSpace{ipWildcard=200.0.220.0/24}	unsat	45653	285463	162934.0	162934.0	162934.0	162.933	162.933	162.933	1362.0	GigabitEthernet0/0	24387.0	57200.0
salzburg	bharuch	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	unsat	63738	294822	234791.0	234791.0	234791.0	234.791	234.791	234.791	1255.0	GigabitEthernet0/0	24387.0	57200.0
wuppertal	minneapolis	IpWildcardIpSpace{ipWildcard=200.1.89.0/24}	unsat	64605	313904	253122.0	253122.0	253122.0	253.12	253.12	253.12	1248.0	GigabitEthernet0/0	24387.0	57200.0
queretaro	barcelona	IpWildcardIpSpace{ipWildcard=200.0.39.0/24}	unsat	64166	307181	172638.0	172638.0	172638.0	172.636	172.636	172.636	1570.0	GigabitEthernet0/0	24387.0	57200.0
rennesidhg72	birmingham	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	unsat	55204	327157	186159.0	186159.0	186159.0	186.157	186.157	186.157	1273.0	GigabitEthernet0/0	24387.0	57200.0
manchesteridhh99	newttyorkidhg158	IpWildcardIpSpace{ipWildcard=200.1.122.0/24}	unsat	44705	266074	131668.0	131668.0	131668.0	131.668	131.668	131.668	1224.0	GigabitEthernet0/0	24387.0	57200.0
newttyork	hoofddorp	IpWildcardIpSpace{ipWildcard=200.0.237.0/24}	unsat	42847	260987	176909.0	176909.0	176909.0	176.909	176.909	176.909	1284.0	GigabitEthernet0/0	24387.0	57200.0
bellowsttfalls	whitettplains	IpWildcardIpSpace{ipWildcard=200.2.98.0/24}	unsat	55292	286600	218741.0	218741.0	218741.0	218.74	218.74	218.74	1468.0	GigabitEthernet0/0	24387.0	57200.0
dusseldorf	santattclara	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	unsat	67297	330324	246579.0	246579.0	246579.0	246.578	246.578	246.578	1240.0	GigabitEthernet0/0	24387.0	57200.0
belgaum	olean	IpWildcardIpSpace{ipWildcard=200.1.175.0/24}	unsat	57728	307499	197599.0	197599.0	197599.0	197.598	197.598	197.598	1193.0	GigabitEthernet0/0	24387.0	57200.0
