srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
noida	margaretsville	IpWildcardIpSpace{ipWildcard=200.1.73.0/24}	sat	767	50695	6330.0	6330.0	6330.0	6.329	6.329	6.329	1399.0	GigabitEthernet0/0	24387.0	55817.0
valencia	chitradurg	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	sat	776	87315	6743.0	6743.0	6743.0	6.742	6.742	6.742	1351.0	GigabitEthernet0/0	24387.0	55817.0
miami	hadiagarh	IpWildcardIpSpace{ipWildcard=200.0.220.0/24}	timeout	490230	6611630	3600189.0	3600189.0	3600189.0	3600.188	3600.188	3600.188	1330.0	GigabitEthernet0/0	24387.0	55817.0
salzburg	bharuch	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	sat	762	60161	6476.0	6476.0	6476.0	6.476	6.476	6.476	1242.0	GigabitEthernet0/0	24387.0	55817.0
wuppertal	minneapolis	IpWildcardIpSpace{ipWildcard=200.1.89.0/24}	sat	763	53270	6553.0	6553.0	6553.0	6.552	6.552	6.552	1247.0	GigabitEthernet0/0	24387.0	55817.0
queretaro	barcelona	IpWildcardIpSpace{ipWildcard=200.0.39.0/24}	sat	763	39778	6145.0	6145.0	6145.0	6.144	6.144	6.144	1419.0	GigabitEthernet0/0	24387.0	55817.0
rennesidhg72	birmingham	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	sat	770	50901	6642.0	6642.0	6642.0	6.641	6.641	6.641	1235.0	GigabitEthernet0/0	24387.0	55817.0
manchesteridhh99	newttyorkidhg158	IpWildcardIpSpace{ipWildcard=200.1.122.0/24}	sat	80890	1585717	464738.0	464738.0	464738.0	464.737	464.737	464.737	1481.0	GigabitEthernet0/0	24387.0	55817.0
newttyork	hoofddorp	IpWildcardIpSpace{ipWildcard=200.0.237.0/24}	sat	772	45131	6827.0	6827.0	6827.0	6.826	6.826	6.826	1430.0	GigabitEthernet0/0	24387.0	55817.0
bellowsttfalls	whitettplains	IpWildcardIpSpace{ipWildcard=200.2.98.0/24}	sat	767	48137	6824.0	6824.0	6824.0	6.823	6.823	6.823	1520.0	GigabitEthernet0/0	24387.0	55817.0
dusseldorf	santattclara	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	sat	768	66658	6831.0	6831.0	6831.0	6.83	6.83	6.83	1263.0	GigabitEthernet0/0	24387.0	55817.0
belgaum	olean	IpWildcardIpSpace{ipWildcard=200.1.175.0/24}	sat	781	47509	6930.0	6930.0	6930.0	6.929	6.929	6.929	1229.0	GigabitEthernet0/0	24387.0	55817.0
firenze	marseille	IpWildcardIpSpace{ipWildcard=200.1.74.0/24}	sat	760	228729	28097.0	28097.0	28097.0	28.097	28.097	28.097	1398.0	GigabitEthernet0/0	24387.0	55817.0
nantesidhg71	dortmund	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	sat	764	30332	6201.0	6201.0	6201.0	6.2	6.2	6.2	1512.0	GigabitEthernet0/0	24387.0	55817.0
grenoble	palermo	IpWildcardIpSpace{ipWildcard=200.1.187.0/24}	sat	762	79943	6658.0	6658.0	6658.0	6.657	6.657	6.657	1399.0	GigabitEthernet0/0	24387.0	55817.0
southttcanaan	amsterdam	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	sat	58842	1650596	453907.0	453907.0	453907.0	453.907	453.907	453.907	1367.0	GigabitEthernet0/0	24387.0	55817.0
newttyork	ostend	IpWildcardIpSpace{ipWildcard=200.1.183.0/24}	sat	765	49525	6816.0	6816.0	6816.0	6.815	6.815	6.815	1408.0	GigabitEthernet0/0	24387.0	55817.0
nanded	odessa	IpWildcardIpSpace{ipWildcard=200.1.171.0/24}	sat	777	42989	6561.0	6561.0	6561.0	6.56	6.56	6.56	1374.0	GigabitEthernet0/0	24387.0	55817.0
panjim	gothenburg	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	sat	761	34349	6775.0	6775.0	6775.0	6.774	6.774	6.774	1244.0	GigabitEthernet0/0	24387.0	55817.0
moradabad	potsdam	IpWildcardIpSpace{ipWildcard=200.1.213.0/24}	sat	767	47229	7451.0	7451.0	7451.0	7.45	7.45	7.45	1294.0	GigabitEthernet0/0	24387.0	55817.0
jaunpur	nyon	IpWildcardIpSpace{ipWildcard=200.1.169.0/24}	sat	767	73571	6867.0	6867.0	6867.0	6.866	6.866	6.866	1225.0	GigabitEthernet0/0	24387.0	55817.0
avila	bari	IpWildcardIpSpace{ipWildcard=200.0.42.0/24}	sat	761	73831	7104.0	7104.0	7104.0	7.102	7.102	7.102	1225.0	GigabitEthernet0/0	24387.0	55817.0
strasbourg	poiters	IpWildcardIpSpace{ipWildcard=200.1.206.0/24}	sat	760	231152	27766.0	27766.0	27766.0	27.765	27.765	27.765	1243.0	GigabitEthernet0/0	24387.0	55817.0
granada	balchik	IpWildcardIpSpace{ipWildcard=200.0.36.0/24}	sat	772	41724	6764.0	6764.0	6764.0	6.763	6.763	6.763	1376.0	GigabitEthernet0/0	24387.0	55817.0
bostonidhg155	evere	IpWildcardIpSpace{ipWildcard=200.0.184.0/24}	sat	764	49859	7230.0	7230.0	7230.0	7.23	7.23	7.23	1425.0	GigabitEthernet0/0	24387.0	55817.0
mysore	madrididhg54	IpWildcardIpSpace{ipWildcard=200.1.59.0/24}	sat	777	42720	7422.0	7422.0	7422.0	7.422	7.422	7.422	1692.0	GigabitEthernet0/0	24387.0	55817.0
ernakulam	nagpur	IpWildcardIpSpace{ipWildcard=200.1.107.0/24}	sat	760	228540	27747.0	27747.0	27747.0	27.746	27.746	27.746	1243.0	GigabitEthernet0/0	24387.0	55817.0
monza	burgas	IpWildcardIpSpace{ipWildcard=200.0.103.0/24}	sat	774	44745	6801.0	6801.0	6801.0	6.801	6.801	6.801	1201.0	GigabitEthernet0/0	24387.0	55817.0
ujjain	indianapolis	IpWildcardIpSpace{ipWildcard=200.0.242.0/24}	sat	760	230315	27564.0	27564.0	27564.0	27.562	27.562	27.562	1225.0	GigabitEthernet0/0	24387.0	55817.0
bhopal	como	IpWildcardIpSpace{ipWildcard=200.0.136.0/24}	sat	796	52639	7932.0	7932.0	7932.0	7.931	7.931	7.931	1412.0	GigabitEthernet0/0	24387.0	55817.0
malmo	stuttgart	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	sat	6017	761188	141356.0	141356.0	141356.0	141.355	141.355	141.355	1245.0	GigabitEthernet0/0	24387.0	55817.0
madrid	tallinn	IpWildcardIpSpace{ipWildcard=200.2.42.0/24}	sat	779	21823	7122.0	7122.0	7122.0	7.121	7.121	7.121	1287.0	GigabitEthernet0/0	24387.0	55817.0
middleburgh	coimbra	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	sat	760	227421	31256.0	31256.0	31256.0	31.255	31.255	31.255	1515.0	GigabitEthernet0/0	24387.0	55817.0
greensboro	cologne	IpWildcardIpSpace{ipWildcard=200.0.132.0/24}	sat	762	25442	7438.0	7438.0	7438.0	7.436	7.436	7.436	1492.0	GigabitEthernet0/0	24387.0	55817.0
