srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
noida	margaretsville	IpWildcardIpSpace{ipWildcard=200.1.73.0/24}	sat	76650	366330	291917.0	291917.0	291917.0	291.916	291.916	291.916	1337.0	GigabitEthernet0/0	24387.0	57200.0
valencia	chitradurg	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	sat	54724	288114	191614.0	191614.0	191614.0	191.613	191.613	191.613	1281.0	GigabitEthernet0/0	24387.0	57200.0
miami	hadiagarh	IpWildcardIpSpace{ipWildcard=200.0.220.0/24}	sat	59646	307756	202886.0	202886.0	202886.0	202.885	202.885	202.885	1306.0	GigabitEthernet0/0	24387.0	57200.0
salzburg	bharuch	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	sat	54335	306280	170153.0	170153.0	170153.0	170.153	170.153	170.153	1280.0	GigabitEthernet0/0	24387.0	57200.0
wuppertal	minneapolis	IpWildcardIpSpace{ipWildcard=200.1.89.0/24}	sat	62706	332831	231726.0	231726.0	231726.0	231.725	231.725	231.725	1317.0	GigabitEthernet0/0	24387.0	57200.0
queretaro	barcelona	IpWildcardIpSpace{ipWildcard=200.0.39.0/24}	sat	72539	340071	220957.0	220957.0	220957.0	220.956	220.956	220.956	1475.0	GigabitEthernet0/0	24387.0	57200.0
rennesidhg72	birmingham	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	sat	82543	390642	284729.0	284729.0	284729.0	284.728	284.728	284.728	1250.0	GigabitEthernet0/0	24387.0	57200.0
manchesteridhh99	newttyorkidhg158	IpWildcardIpSpace{ipWildcard=200.1.122.0/24}	sat	73698	364761	300638.0	300638.0	300638.0	300.637	300.637	300.637	1161.0	GigabitEthernet0/0	24387.0	57200.0
newttyork	hoofddorp	IpWildcardIpSpace{ipWildcard=200.0.237.0/24}	sat	74288	345259	320244.0	320244.0	320244.0	320.243	320.243	320.243	1326.0	GigabitEthernet0/0	24387.0	57200.0
bellowsttfalls	whitettplains	IpWildcardIpSpace{ipWildcard=200.2.98.0/24}	sat	63288	324774	218731.0	218731.0	218731.0	218.73	218.73	218.73	1441.0	GigabitEthernet0/0	24387.0	57200.0
dusseldorf	santattclara	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	sat	60738	332113	253115.0	253115.0	253115.0	253.114	253.114	253.114	1249.0	GigabitEthernet0/0	24387.0	57200.0
belgaum	olean	IpWildcardIpSpace{ipWildcard=200.1.175.0/24}	sat	44879	274576	200299.0	200299.0	200299.0	200.298	200.298	200.298	1208.0	GigabitEthernet0/0	24387.0	57200.0
firenze	marseille	IpWildcardIpSpace{ipWildcard=200.1.74.0/24}	sat	79344	389021	261018.0	261018.0	261018.0	261.017	261.017	261.017	1249.0	GigabitEthernet0/0	24387.0	57200.0
nantesidhg71	dortmund	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	sat	62523	371070	277473.0	277473.0	277473.0	277.472	277.472	277.472	1407.0	GigabitEthernet0/0	24387.0	57200.0
grenoble	palermo	IpWildcardIpSpace{ipWildcard=200.1.187.0/24}	sat	72601	342432	235379.0	235379.0	235379.0	235.378	235.378	235.378	1392.0	GigabitEthernet0/0	24387.0	57200.0
southttcanaan	amsterdam	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	sat	85683	395788	316361.0	316361.0	316361.0	316.361	316.361	316.361	1282.0	GigabitEthernet0/0	24387.0	57200.0
newttyork	ostend	IpWildcardIpSpace{ipWildcard=200.1.183.0/24}	sat	64236	340555	281552.0	281552.0	281552.0	281.551	281.551	281.551	1465.0	GigabitEthernet0/0	24387.0	57200.0
nanded	odessa	IpWildcardIpSpace{ipWildcard=200.1.171.0/24}	sat	48514	300663	205845.0	205845.0	205845.0	205.844	205.844	205.844	1312.0	GigabitEthernet0/0	24387.0	57200.0
panjim	gothenburg	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	sat	60557	337072	188370.0	188370.0	188370.0	188.369	188.369	188.369	1272.0	GigabitEthernet0/0	24387.0	57200.0
moradabad	potsdam	IpWildcardIpSpace{ipWildcard=200.1.213.0/24}	sat	50715	331980	217612.0	217612.0	217612.0	217.61	217.61	217.61	1243.0	GigabitEthernet0/0	24387.0	57200.0
jaunpur	nyon	IpWildcardIpSpace{ipWildcard=200.1.169.0/24}	sat	60256	305172	268215.0	268215.0	268215.0	268.214	268.214	268.214	1210.0	GigabitEthernet0/0	24387.0	57200.0
avila	bari	IpWildcardIpSpace{ipWildcard=200.0.42.0/24}	sat	71621	348446	268948.0	268948.0	268948.0	268.947	268.947	268.947	1551.0	GigabitEthernet0/0	24387.0	57200.0
strasbourg	poiters	IpWildcardIpSpace{ipWildcard=200.1.206.0/24}	sat	58333	312206	248497.0	248497.0	248497.0	248.497	248.497	248.497	1242.0	GigabitEthernet0/0	24387.0	57200.0
granada	balchik	IpWildcardIpSpace{ipWildcard=200.0.36.0/24}	sat	46309	273388	186839.0	186839.0	186839.0	186.839	186.839	186.839	1390.0	GigabitEthernet0/0	24387.0	57200.0
bostonidhg155	evere	IpWildcardIpSpace{ipWildcard=200.0.184.0/24}	sat	67678	328617	221893.0	221893.0	221893.0	221.892	221.892	221.892	1458.0	GigabitEthernet0/0	24387.0	57200.0
mysore	madrididhg54	IpWildcardIpSpace{ipWildcard=200.1.59.0/24}	sat	85759	407356	334526.0	334526.0	334526.0	334.525	334.525	334.525	1468.0	GigabitEthernet0/0	24387.0	57200.0
ernakulam	nagpur	IpWildcardIpSpace{ipWildcard=200.1.107.0/24}	sat	63075	302608	223102.0	223102.0	223102.0	223.102	223.102	223.102	1451.0	GigabitEthernet0/0	24387.0	57200.0
monza	burgas	IpWildcardIpSpace{ipWildcard=200.0.103.0/24}	sat	57634	285560	185200.0	185200.0	185200.0	185.199	185.199	185.199	1241.0	GigabitEthernet0/0	24387.0	57200.0
ujjain	indianapolis	IpWildcardIpSpace{ipWildcard=200.0.242.0/24}	sat	91612	401835	330721.0	330721.0	330721.0	330.72	330.72	330.72	1232.0	GigabitEthernet0/0	24387.0	57200.0
bhopal	como	IpWildcardIpSpace{ipWildcard=200.0.136.0/24}	sat	59160	320501	202207.0	202207.0	202207.0	202.206	202.206	202.206	1233.0	GigabitEthernet0/0	24387.0	57200.0
malmo	stuttgart	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	sat	52023	303888	178509.0	178509.0	178509.0	178.507	178.507	178.507	1335.0	GigabitEthernet0/0	24387.0	57200.0
madrid	tallinn	IpWildcardIpSpace{ipWildcard=200.2.42.0/24}	sat	94152	423277	367581.0	367581.0	367581.0	367.58	367.58	367.58	1247.0	GigabitEthernet0/0	24387.0	57200.0
middleburgh	coimbra	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	sat	83534	387557	381745.0	381745.0	381745.0	381.744	381.744	381.744	1298.0	GigabitEthernet0/0	24387.0	57200.0
greensboro	cologne	IpWildcardIpSpace{ipWildcard=200.0.132.0/24}	sat	79530	334230	344234.0	344234.0	344234.0	344.232	344.232	344.232	1503.0	GigabitEthernet0/0	24387.0	57200.0
dhulia	utrecht	IpWildcardIpSpace{ipWildcard=200.2.71.0/24}	sat	80208	368796	292491.0	292491.0	292491.0	292.49	292.49	292.49	1511.0	GigabitEthernet0/0	24387.0	57200.0
nodeidhg173	montpellier	IpWildcardIpSpace{ipWildcard=200.1.94.0/24}	sat	93233	438229	460770.0	460770.0	460770.0	460.77	460.77	460.77	1325.0	GigabitEthernet0/0	24387.0	57200.0
deposit	zaragoza	IpWildcardIpSpace{ipWildcard=200.2.105.0/24}	sat	50674	304919	208092.0	208092.0	208092.0	208.091	208.091	208.091	1284.0	GigabitEthernet0/0	24387.0	57200.0
nuremberg	madrid	IpWildcardIpSpace{ipWildcard=200.1.58.0/24}	sat	71373	361671	271539.0	271539.0	271539.0	271.538	271.538	271.538	1259.0	GigabitEthernet0/0	24387.0	57200.0
nodeidhh95	catania	IpWildcardIpSpace{ipWildcard=200.0.112.0/24}	sat	70857	336839	246103.0	246103.0	246103.0	246.102	246.102	246.102	1364.0	GigabitEthernet0/0	24387.0	57200.0
munster	liege	IpWildcardIpSpace{ipWildcard=200.1.35.0/24}	sat	71609	363629	262896.0	262896.0	262896.0	262.895	262.895	262.895	1274.0	GigabitEthernet0/0	24387.0	57200.0
portland	ovid	IpWildcardIpSpace{ipWildcard=200.1.184.0/24}	sat	78326	359677	347361.0	347361.0	347361.0	347.361	347.361	347.361	1503.0	GigabitEthernet0/0	24387.0	57200.0
albuquerque	bilbao	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	64268	352816	266381.0	266381.0	266381.0	266.379	266.379	266.379	1828.0	GigabitEthernet0/0	24387.0	57200.0
