srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
herndon	huntington	IpWildcardIpSpace{ipWildcard=200.4.254.0/24}	unsat	1929	9412	3713.0	3713.0	3713.0	3.711	3.711	3.711	533.0	GigabitEthernet0/0	6480.0	15140.0
franklin	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	unsat	2596	12905	4229.0	4229.0	4229.0	4.228	4.228	4.228	335.0	GigabitEthernet0/0	6480.0	15140.0
fortttmyers	yemassee	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	unsat	2200	13388	4440.0	4440.0	4440.0	4.44	4.44	4.44	342.0	GigabitEthernet0/0	6480.0	15140.0
stephensttcity	montgomery	IpWildcardIpSpace{ipWildcard=200.4.225.0/24}	unsat	4933	25248	6829.0	6829.0	6829.0	6.828	6.828	6.828	326.0	GigabitEthernet0/0	6480.0	15140.0
danville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	unsat	4109	19146	6352.0	6352.0	6352.0	6.352	6.352	6.352	345.0	GigabitEthernet0/0	6480.0	15140.0
chamersburg	ocala	IpWildcardIpSpace{ipWildcard=200.4.150.0/24}	unsat	3981	18225	4867.0	4867.0	4867.0	4.866	4.866	4.866	308.0	GigabitEthernet0/0	6480.0	15140.0
birmingham	martinsville	IpWildcardIpSpace{ipWildcard=200.4.148.0/24}	unsat	5313	25605	7162.0	7162.0	7162.0	7.16	7.16	7.16	504.0	GigabitEthernet0/0	6324.0	14750.0
marion	blueridge	IpWildcardIpSpace{ipWildcard=200.5.13.0/24}	unsat	3656	16192	4438.0	4438.0	4438.0	4.437	4.437	4.437	315.0	GigabitEthernet0/0	6480.0	15140.0
leesburg	peerfayetteville7	IpWildcardIpSpace{ipWildcard=200.4.208.0/24}	unsat	2346	13401	4364.0	4364.0	4364.0	4.363	4.363	4.363	353.0	GigabitEthernet0/0	6480.0	15140.0
burlington	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	unsat	2755	10313	3796.0	3796.0	3796.0	3.795	3.795	3.795	296.0	GigabitEthernet0/0	6480.0	15140.0
dalton	highttpoint	IpWildcardIpSpace{ipWildcard=200.4.212.0/24}	unsat	5885	36341	9333.0	9333.0	9333.0	9.332	9.332	9.332	329.0	GigabitEthernet0/0	6480.0	15140.0
