srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
herndon	huntington	IpWildcardIpSpace{ipWildcard=200.4.254.0/24}	unsat	443487	1454579	520386.0	520386.0	520386.0	520.385	520.385	520.385	418.0	GigabitEthernet0/0	6704.0	15306.0
franklin	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	unsat	486337	1694075	711120.0	711120.0	711120.0	711.119	711.119	711.119	352.0	GigabitEthernet0/0	6704.0	15306.0
fortttmyers	yemassee	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	unsat	287091	1023638	372000.0	372000.0	372000.0	371.999	371.999	371.999	354.0	GigabitEthernet0/0	6704.0	15306.0
stephensttcity	montgomery	IpWildcardIpSpace{ipWildcard=200.4.225.0/24}	unsat	861733	2908001	1380902.0	1380902.0	1380902.0	1380.901	1380.901	1380.901	356.0	GigabitEthernet0/0	6704.0	15306.0
danville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	unsat	691516	1960670	989594.0	989594.0	989594.0	989.594	989.594	989.594	339.0	GigabitEthernet0/0	6704.0	15306.0
chamersburg	ocala	IpWildcardIpSpace{ipWildcard=200.4.150.0/24}	unsat	868275	2755003	1437455.0	1437455.0	1437455.0	1437.454	1437.454	1437.454	336.0	GigabitEthernet0/0	6704.0	15306.0
birmingham	martinsville	IpWildcardIpSpace{ipWildcard=200.4.148.0/24}	unsat	612938	1867688	807289.0	807289.0	807289.0	807.288	807.288	807.288	370.0	GigabitEthernet0/0	6704.0	15306.0
marion	blueridge	IpWildcardIpSpace{ipWildcard=200.5.13.0/24}	unsat	808455	2422817	1175145.0	1175145.0	1175145.0	1175.144	1175.144	1175.144	429.0	GigabitEthernet0/0	6704.0	15306.0
leesburg	peerfayetteville7	IpWildcardIpSpace{ipWildcard=200.4.208.0/24}	unsat	578733	1932573	843203.0	843203.0	843203.0	843.202	843.202	843.202	300.0	GigabitEthernet0/0	6704.0	15306.0
burlington	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	unsat	516708	1623976	662810.0	662810.0	662810.0	662.809	662.809	662.809	312.0	GigabitEthernet0/0	6704.0	15306.0
dalton	highttpoint	IpWildcardIpSpace{ipWildcard=200.4.212.0/24}	unsat	536947	1727559	819464.0	819464.0	819464.0	819.464	819.464	819.464	315.0	GigabitEthernet0/0	6704.0	15306.0
hawkinsville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	unsat	518700	1679012	628606.0	628606.0	628606.0	628.605	628.605	628.605	317.0	GigabitEthernet0/0	6704.0	15306.0
blacksburg	chamersburg	IpWildcardIpSpace{ipWildcard=200.4.244.0/24}	unsat	605304	1908336	718460.0	718460.0	718460.0	718.459	718.459	718.459	397.0	GigabitEthernet0/0	6704.0	15306.0
panamattcity	abingdon	IpWildcardIpSpace{ipWildcard=200.4.206.0/24}	unsat	852480	2597186	1268470.0	1268470.0	1268470.0	1268.469	1268.469	1268.469	343.0	GigabitEthernet0/0	6704.0	15306.0
leesburgid143	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	unsat	594116	1903053	901081.0	901081.0	901081.0	901.08	901.08	901.08	346.0	GigabitEthernet0/0	6704.0	15306.0
highttpoint	hickorytttavern	IpWildcardIpSpace{ipWildcard=200.5.18.0/24}	unsat	698381	2174666	935607.0	935607.0	935607.0	935.606	935.606	935.606	341.0	GigabitEthernet0/0	6704.0	15306.0
peeralbany0	edinburg	IpWildcardIpSpace{ipWildcard=200.4.238.0/24}	unsat	906752	2704891	1508481.0	1508481.0	1508481.0	1508.481	1508.481	1508.481	305.0	GigabitEthernet0/0	6704.0	15306.0
toccoa	blacksburg	IpWildcardIpSpace{ipWildcard=200.4.152.0/24}	unsat	596840	1859463	792684.0	792684.0	792684.0	792.683	792.683	792.683	304.0	GigabitEthernet0/0	6704.0	15306.0
durham	christiansburg	IpWildcardIpSpace{ipWildcard=200.4.159.0/24}	unsat	366699	1231938	447342.0	447342.0	447342.0	447.34	447.34	447.34	326.0	GigabitEthernet0/0	6704.0	15306.0
durham	salisbury	IpWildcardIpSpace{ipWildcard=200.5.40.0/24}	unsat	157832	558565	167418.0	167418.0	167418.0	167.417	167.417	167.417	316.0	GigabitEthernet0/0	6704.0	15306.0
easley	jacksonvilleid5	IpWildcardIpSpace{ipWildcard=200.4.186.0/24}	unsat	634999	1984815	1001291.0	1001291.0	1001291.0	1001.291	1001.291	1001.291	327.0	GigabitEthernet0/0	6704.0	15306.0
atlanta	greenvilleid16	IpWildcardIpSpace{ipWildcard=200.5.17.0/24}	unsat	675247	2095136	1179502.0	1179502.0	1179502.0	1179.501	1179.501	1179.501	337.0	GigabitEthernet0/0	6704.0	15306.0
blitchton	kinston	IpWildcardIpSpace{ipWildcard=200.4.145.0/24}	unsat	672391	2136143	1156589.0	1156589.0	1156589.0	1156.589	1156.589	1156.589	336.0	GigabitEthernet0/0	6704.0	15306.0
martinsburg	danville	IpWildcardIpSpace{ipWildcard=200.5.24.0/24}	unsat	384372	1445058	800830.0	800830.0	800830.0	800.829	800.829	800.829	357.0	GigabitEthernet0/0	6704.0	15306.0
aiken	douglas	IpWildcardIpSpace{ipWildcard=200.4.138.0/24}	unsat	462574	1474801	1219338.0	1219338.0	1219338.0	1219.337	1219.337	1219.337	601.0	GigabitEthernet0/0	6704.0	15306.0
sparta	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	unsat	660697	1972720	2454612.0	2454612.0	2454612.0	2454.611	2454.611	2454.611	1081.0	GigabitEthernet0/0	6704.0	15306.0
savannah	spartanburg	IpWildcardIpSpace{ipWildcard=200.4.160.0/24}	unsat	552131	1776547	2141875.0	2141875.0	2141875.0	2141.874	2141.874	2141.874	616.0	GigabitEthernet0/0	6704.0	15306.0
highttpoint	durham	IpWildcardIpSpace{ipWildcard=200.4.207.0/24}	unsat	309126	1129820	997596.0	997596.0	997596.0	997.595	997.595	997.595	473.0	GigabitEthernet0/0	6704.0	15306.0
mobile	rockyttmountid11	IpWildcardIpSpace{ipWildcard=200.4.226.0/24}	unsat	653300	2009855	2577954.0	2577954.0	2577954.0	2577.953	2577.953	2577.953	685.0	GigabitEthernet0/0	6704.0	15306.0
willacoochee	kingsport	IpWildcardIpSpace{ipWildcard=200.4.227.0/24}	unsat	837827	2462577	1235649.0	1235649.0	1235649.0	1235.648	1235.648	1235.648	516.0	GigabitEthernet0/0	6704.0	15306.0
tifton	lancaster	IpWildcardIpSpace{ipWildcard=200.4.171.0/24}	unsat	573198	1848337	724183.0	724183.0	724183.0	724.182	724.182	724.182	335.0	GigabitEthernet0/0	6704.0	15306.0
myrtlettbeach	waycross	IpWildcardIpSpace{ipWildcard=200.5.9.0/24}	unsat	603165	1859115	735689.0	735689.0	735689.0	735.689	735.689	735.689	325.0	GigabitEthernet0/0	6704.0	15306.0
winterttpark	carlisle	IpWildcardIpSpace{ipWildcard=200.4.224.0/24}	unsat	989027	3110753	1683684.0	1683684.0	1683684.0	1683.682	1683.682	1683.682	307.0	GigabitEthernet0/0	6704.0	15306.0
peerchristiansburg5	blitchton	IpWildcardIpSpace{ipWildcard=200.4.136.0/24}	unsat	548693	1827878	723857.0	723857.0	723857.0	723.856	723.856	723.856	319.0	GigabitEthernet0/0	6704.0	15306.0
wytheville	danville	IpWildcardIpSpace{ipWildcard=200.5.24.0/24}	unsat	234130	789371	253809.0	253809.0	253809.0	253.808	253.808	253.808	325.0	GigabitEthernet0/0	6704.0	15306.0
peerblairsville2	omega	IpWildcardIpSpace{ipWildcard=200.4.192.0/24}	unsat	458086	1519497	586937.0	586937.0	586937.0	586.936	586.936	586.936	310.0	GigabitEthernet0/0	6704.0	15306.0
martinsburg	baldwin	IpWildcardIpSpace{ipWildcard=200.5.27.0/24}	unsat	629962	2020234	824692.0	824692.0	824692.0	824.692	824.692	824.692	304.0	GigabitEthernet0/0	6704.0	15306.0
columbia	youngttharris	IpWildcardIpSpace{ipWildcard=200.4.132.0/24}	unsat	653902	2187920	813216.0	813216.0	813216.0	813.215	813.215	813.215	305.0	GigabitEthernet0/0	6704.0	15306.0
hinesville	lynchburg	IpWildcardIpSpace{ipWildcard=200.5.33.0/24}	unsat	619893	1908514	801977.0	801977.0	801977.0	801.976	801.976	801.976	300.0	GigabitEthernet0/0	6704.0	15306.0
charlotte	salisbury	IpWildcardIpSpace{ipWildcard=200.5.40.0/24}	unsat	168605	639303	147573.0	147573.0	147573.0	147.572	147.572	147.572	370.0	GigabitEthernet0/0	6704.0	15306.0
