srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
herndon	huntington	IpWildcardIpSpace{ipWildcard=200.4.254.0/24}	sat	202	1222	632.0	632.0	632.0	0.631	0.631	0.631	380.0	GigabitEthernet0/0	6704.0	15306.0
franklin	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	sat	202	966	677.0	677.0	677.0	0.677	0.677	0.677	337.0	GigabitEthernet0/0	6704.0	15306.0
fortttmyers	yemassee	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	sat	3614	63991	7623.0	7623.0	7623.0	7.622	7.622	7.622	367.0	GigabitEthernet0/0	6704.0	15306.0
stephensttcity	montgomery	IpWildcardIpSpace{ipWildcard=200.4.225.0/24}	sat	937	47511	5708.0	5708.0	5708.0	5.707	5.707	5.707	336.0	GigabitEthernet0/0	6704.0	15306.0
danville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	sat	202	917	697.0	697.0	697.0	0.696	0.696	0.696	340.0	GigabitEthernet0/0	6704.0	15306.0
chamersburg	ocala	IpWildcardIpSpace{ipWildcard=200.4.150.0/24}	sat	202	1493	715.0	715.0	715.0	0.714	0.714	0.714	328.0	GigabitEthernet0/0	6704.0	15306.0
birmingham	martinsville	IpWildcardIpSpace{ipWildcard=200.4.148.0/24}	sat	202	1230	618.0	618.0	618.0	0.618	0.618	0.618	374.0	GigabitEthernet0/0	6704.0	15306.0
marion	blueridge	IpWildcardIpSpace{ipWildcard=200.5.13.0/24}	sat	202	17990	1643.0	1643.0	1643.0	1.643	1.643	1.643	329.0	GigabitEthernet0/0	6704.0	15306.0
leesburg	peerfayetteville7	IpWildcardIpSpace{ipWildcard=200.4.208.0/24}	sat	202	2910	753.0	753.0	753.0	0.752	0.752	0.752	336.0	GigabitEthernet0/0	6704.0	15306.0
burlington	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	sat	202	1389	732.0	732.0	732.0	0.732	0.732	0.732	295.0	GigabitEthernet0/0	6704.0	15306.0
dalton	highttpoint	IpWildcardIpSpace{ipWildcard=200.4.212.0/24}	sat	202	17807	1630.0	1630.0	1630.0	1.63	1.63	1.63	319.0	GigabitEthernet0/0	6704.0	15306.0
hawkinsville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	sat	202	917	770.0	770.0	770.0	0.769	0.769	0.769	337.0	GigabitEthernet0/0	6704.0	15306.0
blacksburg	chamersburg	IpWildcardIpSpace{ipWildcard=200.4.244.0/24}	sat	202	2096	754.0	754.0	754.0	0.753	0.753	0.753	376.0	GigabitEthernet0/0	6704.0	15306.0
panamattcity	abingdon	IpWildcardIpSpace{ipWildcard=200.4.206.0/24}	sat	202	2213	740.0	740.0	740.0	0.74	0.74	0.74	313.0	GigabitEthernet0/0	6704.0	15306.0
leesburgid143	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	sat	202	1390	813.0	813.0	813.0	0.813	0.813	0.813	303.0	GigabitEthernet0/0	6704.0	15306.0
highttpoint	hickorytttavern	IpWildcardIpSpace{ipWildcard=200.5.18.0/24}	sat	202	3041	833.0	833.0	833.0	0.832	0.832	0.832	305.0	GigabitEthernet0/0	6704.0	15306.0
