srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
herndon	huntington	IpWildcardIpSpace{ipWildcard=200.4.254.0/24}	sat	4229	21815	4594.0	4594.0	4594.0	4.593	4.593	4.593	344.0	GigabitEthernet0/0	6480.0	15140.0
franklin	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	sat	4540	22500	5301.0	5301.0	5301.0	5.301	5.301	5.301	323.0	GigabitEthernet0/0	6480.0	15140.0
fortttmyers	yemassee	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	sat	4011	20519	4927.0	4927.0	4927.0	4.926	4.926	4.926	325.0	GigabitEthernet0/0	6480.0	15140.0
stephensttcity	montgomery	IpWildcardIpSpace{ipWildcard=200.4.225.0/24}	sat	3375	18807	3755.0	3755.0	3755.0	3.755	3.755	3.755	321.0	GigabitEthernet0/0	6480.0	15140.0
danville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	sat	4575	24147	4749.0	4749.0	4749.0	4.749	4.749	4.749	329.0	GigabitEthernet0/0	6480.0	15140.0
chamersburg	ocala	IpWildcardIpSpace{ipWildcard=200.4.150.0/24}	sat	3083	15433	4050.0	4050.0	4050.0	4.049	4.049	4.049	314.0	GigabitEthernet0/0	6480.0	15140.0
birmingham	martinsville	IpWildcardIpSpace{ipWildcard=200.4.148.0/24}	sat	3629	20463	3595.0	3595.0	3595.0	3.595	3.595	3.595	345.0	GigabitEthernet0/0	6324.0	14750.0
marion	blueridge	IpWildcardIpSpace{ipWildcard=200.5.13.0/24}	sat	3709	21548	4970.0	4970.0	4970.0	4.969	4.969	4.969	324.0	GigabitEthernet0/0	6480.0	15140.0
leesburg	peerfayetteville7	IpWildcardIpSpace{ipWildcard=200.4.208.0/24}	sat	3388	20697	4487.0	4487.0	4487.0	4.486	4.486	4.486	314.0	GigabitEthernet0/0	6480.0	15140.0
burlington	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	sat	4045	22853	5151.0	5151.0	5151.0	5.15	5.15	5.15	291.0	GigabitEthernet0/0	6480.0	15140.0
dalton	highttpoint	IpWildcardIpSpace{ipWildcard=200.4.212.0/24}	sat	3752	20415	4631.0	4631.0	4631.0	4.63	4.63	4.63	295.0	GigabitEthernet0/0	6480.0	15140.0
hawkinsville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	sat	4894	24010	5972.0	5972.0	5972.0	5.971	5.971	5.971	318.0	GigabitEthernet0/0	6480.0	15140.0
blacksburg	chamersburg	IpWildcardIpSpace{ipWildcard=200.4.244.0/24}	sat	3725	19115	3639.0	3639.0	3639.0	3.638	3.638	3.638	363.0	GigabitEthernet0/0	6480.0	15140.0
panamattcity	abingdon	IpWildcardIpSpace{ipWildcard=200.4.206.0/24}	sat	4584	23717	5313.0	5313.0	5313.0	5.312	5.312	5.312	298.0	GigabitEthernet0/0	6480.0	15140.0
leesburgid143	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	sat	4062	24155	5426.0	5426.0	5426.0	5.425	5.425	5.425	306.0	GigabitEthernet0/0	6480.0	15140.0
highttpoint	hickorytttavern	IpWildcardIpSpace{ipWildcard=200.5.18.0/24}	sat	3287	18434	3919.0	3919.0	3919.0	3.918	3.918	3.918	280.0	GigabitEthernet0/0	6480.0	15140.0
peeralbany0	edinburg	IpWildcardIpSpace{ipWildcard=200.4.238.0/24}	sat	4310	22528	5272.0	5272.0	5272.0	5.271	5.271	5.271	299.0	GigabitEthernet0/0	6480.0	15140.0
toccoa	blacksburg	IpWildcardIpSpace{ipWildcard=200.4.152.0/24}	sat	3543	20167	4540.0	4540.0	4540.0	4.539	4.539	4.539	309.0	GigabitEthernet0/0	6480.0	15140.0
durham	christiansburg	IpWildcardIpSpace{ipWildcard=200.4.159.0/24}	sat	3670	20772	4258.0	4258.0	4258.0	4.257	4.257	4.257	315.0	GigabitEthernet0/0	6480.0	15140.0
durham	salisbury	IpWildcardIpSpace{ipWildcard=200.5.40.0/24}	sat	1340	9047	1875.0	1875.0	1875.0	1.874	1.874	1.874	305.0	GigabitEthernet0/0	6480.0	15140.0
easley	jacksonvilleid5	IpWildcardIpSpace{ipWildcard=200.4.186.0/24}	sat	4574	22970	5945.0	5945.0	5945.0	5.944	5.944	5.944	287.0	GigabitEthernet0/0	6480.0	15140.0
atlanta	greenvilleid16	IpWildcardIpSpace{ipWildcard=200.5.17.0/24}	sat	4149	23880	5445.0	5445.0	5445.0	5.444	5.444	5.444	332.0	GigabitEthernet0/0	6480.0	15140.0
blitchton	kinston	IpWildcardIpSpace{ipWildcard=200.4.145.0/24}	sat	4279	22903	6910.0	6910.0	6910.0	6.909	6.909	6.909	314.0	GigabitEthernet0/0	6480.0	15140.0
martinsburg	danville	IpWildcardIpSpace{ipWildcard=200.5.24.0/24}	sat	2646	15986	3917.0	3917.0	3917.0	3.916	3.916	3.916	313.0	GigabitEthernet0/0	6480.0	15140.0
aiken	douglas	IpWildcardIpSpace{ipWildcard=200.4.138.0/24}	sat	4237	22559	10155.0	10155.0	10155.0	10.154	10.154	10.154	513.0	GigabitEthernet0/0	6480.0	15140.0
sparta	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	sat	4109	24193	13697.0	13697.0	13697.0	13.696	13.696	13.696	408.0	GigabitEthernet0/0	6480.0	15140.0
savannah	spartanburg	IpWildcardIpSpace{ipWildcard=200.4.160.0/24}	sat	4510	22335	14305.0	14305.0	14305.0	14.303	14.303	14.303	545.0	GigabitEthernet0/0	6480.0	15140.0
highttpoint	durham	IpWildcardIpSpace{ipWildcard=200.4.207.0/24}	sat	3771	19426	12747.0	12747.0	12747.0	12.746	12.746	12.746	506.0	GigabitEthernet0/0	6480.0	15140.0
mobile	rockyttmountid11	IpWildcardIpSpace{ipWildcard=200.4.226.0/24}	sat	3896	18457	13266.0	13266.0	13266.0	13.265	13.265	13.265	425.0	GigabitEthernet0/0	6480.0	15140.0
willacoochee	kingsport	IpWildcardIpSpace{ipWildcard=200.4.227.0/24}	sat	4580	26464	6057.0	6057.0	6057.0	6.056	6.056	6.056	336.0	GigabitEthernet0/0	6480.0	15140.0
tifton	lancaster	IpWildcardIpSpace{ipWildcard=200.4.171.0/24}	sat	5067	25241	5782.0	5782.0	5782.0	5.781	5.781	5.781	306.0	GigabitEthernet0/0	6480.0	15140.0
myrtlettbeach	waycross	IpWildcardIpSpace{ipWildcard=200.5.9.0/24}	sat	4207	22967	4791.0	4791.0	4791.0	4.79	4.79	4.79	317.0	GigabitEthernet0/0	6480.0	15140.0
winterttpark	carlisle	IpWildcardIpSpace{ipWildcard=200.4.224.0/24}	sat	3365	18264	3704.0	3704.0	3704.0	3.704	3.704	3.704	297.0	GigabitEthernet0/0	6480.0	15140.0
peerchristiansburg5	blitchton	IpWildcardIpSpace{ipWildcard=200.4.136.0/24}	sat	3845	22389	4287.0	4287.0	4287.0	4.287	4.287	4.287	319.0	GigabitEthernet0/0	6480.0	15140.0
wytheville	danville	IpWildcardIpSpace{ipWildcard=200.5.24.0/24}	sat	4204	23332	4248.0	4248.0	4248.0	4.248	4.248	4.248	328.0	GigabitEthernet0/0	6480.0	15140.0
peerblairsville2	omega	IpWildcardIpSpace{ipWildcard=200.4.192.0/24}	sat	4377	21140	5389.0	5389.0	5389.0	5.388	5.388	5.388	291.0	GigabitEthernet0/0	6480.0	15140.0
martinsburg	baldwin	IpWildcardIpSpace{ipWildcard=200.5.27.0/24}	sat	4220	24584	4805.0	4805.0	4805.0	4.804	4.804	4.804	287.0	GigabitEthernet0/0	6480.0	15140.0
columbia	youngttharris	IpWildcardIpSpace{ipWildcard=200.4.132.0/24}	sat	5022	23936	6173.0	6173.0	6173.0	6.172	6.172	6.172	302.0	GigabitEthernet0/0	6480.0	15140.0
hinesville	lynchburg	IpWildcardIpSpace{ipWildcard=200.5.33.0/24}	sat	3812	19370	4965.0	4965.0	4965.0	4.964	4.964	4.964	292.0	GigabitEthernet0/0	6480.0	15140.0
charlotte	salisbury	IpWildcardIpSpace{ipWildcard=200.5.40.0/24}	sat	1504	10039	1636.0	1636.0	1636.0	1.635	1.635	1.635	296.0	GigabitEthernet0/0	6480.0	15140.0
blitchton	macon	IpWildcardIpSpace{ipWildcard=200.4.201.0/24}	sat	3235	19318	3392.0	3392.0	3392.0	3.39	3.39	3.39	287.0	GigabitEthernet0/0	6480.0	15140.0
charlottesville	peerchester4	IpWildcardIpSpace{ipWildcard=200.4.134.0/24}	sat	4123	17114	4280.0	4280.0	4280.0	4.279	4.279	4.279	292.0	GigabitEthernet0/0	6480.0	15140.0
leesburgid143	yemassee	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	sat	4119	21905	4004.0	4004.0	4004.0	4.003	4.003	4.003	297.0	GigabitEthernet0/0	6480.0	15140.0
blueridge	columbus	IpWildcardIpSpace{ipWildcard=200.4.167.0/24}	sat	3763	19430	4338.0	4338.0	4338.0	4.337	4.337	4.337	280.0	GigabitEthernet0/0	6480.0	15140.0
tallahassee	blitchton	IpWildcardIpSpace{ipWildcard=200.4.136.0/24}	sat	3735	21299	4276.0	4276.0	4276.0	4.275	4.275	4.275	289.0	GigabitEthernet0/0	6480.0	15140.0
kinston	martinsville	IpWildcardIpSpace{ipWildcard=200.4.148.0/24}	sat	4040	21497	4961.0	4961.0	4961.0	4.961	4.961	4.961	281.0	GigabitEthernet0/0	6480.0	15140.0
peerkingsport9	hiltontthead	IpWildcardIpSpace{ipWildcard=200.4.144.0/24}	sat	4129	23118	4706.0	4706.0	4706.0	4.705	4.705	4.705	279.0	GigabitEthernet0/0	6480.0	15140.0
walterboro	peerdouglas6	IpWildcardIpSpace{ipWildcard=200.4.239.0/24}	sat	4731	27631	6345.0	6345.0	6345.0	6.345	6.345	6.345	279.0	GigabitEthernet0/0	6480.0	15140.0
nodeid84	peerjacksonvilleid58	IpWildcardIpSpace{ipWildcard=200.4.184.0/24}	sat	5003	27493	6304.0	6304.0	6304.0	6.303	6.303	6.303	284.0	GigabitEthernet0/0	6480.0	15140.0
charlottesville	hinesville	IpWildcardIpSpace{ipWildcard=200.4.128.0/24}	sat	4660	22021	5455.0	5455.0	5455.0	5.455	5.455	5.455	297.0	GigabitEthernet0/0	6480.0	15140.0
