srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
herndon	huntington	IpWildcardIpSpace{ipWildcard=200.4.254.0/24}	sat	14631	136859	19633.0	19633.0	19633.0	19.632	19.632	19.632	328.0	GigabitEthernet0/0	6704.0	15306.0
franklin	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	sat	19036	198569	26833.0	26833.0	26833.0	26.832	26.832	26.832	343.0	GigabitEthernet0/0	6704.0	15306.0
fortttmyers	yemassee	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	sat	18896	167302	22158.0	22158.0	22158.0	22.157	22.157	22.157	336.0	GigabitEthernet0/0	6704.0	15306.0
stephensttcity	montgomery	IpWildcardIpSpace{ipWildcard=200.4.225.0/24}	sat	13573	148476	17712.0	17712.0	17712.0	17.711	17.711	17.711	335.0	GigabitEthernet0/0	6704.0	15306.0
danville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	sat	17809	163940	24316.0	24316.0	24316.0	24.314	24.314	24.314	341.0	GigabitEthernet0/0	6704.0	15306.0
chamersburg	ocala	IpWildcardIpSpace{ipWildcard=200.4.150.0/24}	sat	17083	175366	22242.0	22242.0	22242.0	22.242	22.242	22.242	333.0	GigabitEthernet0/0	6704.0	15306.0
birmingham	martinsville	IpWildcardIpSpace{ipWildcard=200.4.148.0/24}	sat	20265	179459	26086.0	26086.0	26086.0	26.086	26.086	26.086	364.0	GigabitEthernet0/0	6704.0	15306.0
marion	blueridge	IpWildcardIpSpace{ipWildcard=200.5.13.0/24}	sat	4128	65183	4432.0	4432.0	4432.0	4.431	4.431	4.431	337.0	GigabitEthernet0/0	6704.0	15306.0
leesburg	peerfayetteville7	IpWildcardIpSpace{ipWildcard=200.4.208.0/24}	sat	4161	70875	5541.0	5541.0	5541.0	5.54	5.54	5.54	311.0	GigabitEthernet0/0	6704.0	15306.0
burlington	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	sat	14546	139993	17729.0	17729.0	17729.0	17.728	17.728	17.728	310.0	GigabitEthernet0/0	6704.0	15306.0
dalton	highttpoint	IpWildcardIpSpace{ipWildcard=200.4.212.0/24}	sat	22358	211421	30884.0	30884.0	30884.0	30.883	30.883	30.883	306.0	GigabitEthernet0/0	6704.0	15306.0
hawkinsville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	sat	15029	157919	17922.0	17922.0	17922.0	17.921	17.921	17.921	419.0	GigabitEthernet0/0	6704.0	15306.0
blacksburg	chamersburg	IpWildcardIpSpace{ipWildcard=200.4.244.0/24}	sat	14833	151667	20090.0	20090.0	20090.0	20.089	20.089	20.089	377.0	GigabitEthernet0/0	6704.0	15306.0
panamattcity	abingdon	IpWildcardIpSpace{ipWildcard=200.4.206.0/24}	sat	6844	101077	8834.0	8834.0	8834.0	8.833	8.833	8.833	314.0	GigabitEthernet0/0	6704.0	15306.0
leesburgid143	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	sat	10612	106056	14336.0	14336.0	14336.0	14.335	14.335	14.335	307.0	GigabitEthernet0/0	6704.0	15306.0
highttpoint	hickorytttavern	IpWildcardIpSpace{ipWildcard=200.5.18.0/24}	sat	23524	209522	33371.0	33371.0	33371.0	33.37	33.37	33.37	321.0	GigabitEthernet0/0	6704.0	15306.0
peeralbany0	edinburg	IpWildcardIpSpace{ipWildcard=200.4.238.0/24}	sat	19375	182078	29640.0	29640.0	29640.0	29.64	29.64	29.64	308.0	GigabitEthernet0/0	6704.0	15306.0
toccoa	blacksburg	IpWildcardIpSpace{ipWildcard=200.4.152.0/24}	sat	4207	58278	4583.0	4583.0	4583.0	4.583	4.583	4.583	314.0	GigabitEthernet0/0	6704.0	15306.0
durham	christiansburg	IpWildcardIpSpace{ipWildcard=200.4.159.0/24}	sat	13087	147251	19967.0	19967.0	19967.0	19.967	19.967	19.967	314.0	GigabitEthernet0/0	6704.0	15306.0
durham	salisbury	IpWildcardIpSpace{ipWildcard=200.5.40.0/24}	sat	3886	60817	5097.0	5097.0	5097.0	5.097	5.097	5.097	316.0	GigabitEthernet0/0	6704.0	15306.0
easley	jacksonvilleid5	IpWildcardIpSpace{ipWildcard=200.4.186.0/24}	sat	14757	146848	23109.0	23109.0	23109.0	23.108	23.108	23.108	322.0	GigabitEthernet0/0	6704.0	15306.0
atlanta	greenvilleid16	IpWildcardIpSpace{ipWildcard=200.5.17.0/24}	sat	22875	219087	38070.0	38070.0	38070.0	38.069	38.069	38.069	349.0	GigabitEthernet0/0	6704.0	15306.0
blitchton	kinston	IpWildcardIpSpace{ipWildcard=200.4.145.0/24}	sat	19135	199304	30642.0	30642.0	30642.0	30.642	30.642	30.642	320.0	GigabitEthernet0/0	6704.0	15306.0
martinsburg	danville	IpWildcardIpSpace{ipWildcard=200.5.24.0/24}	sat	14862	147838	31083.0	31083.0	31083.0	31.081	31.081	31.081	852.0	GigabitEthernet0/0	6704.0	15306.0
aiken	douglas	IpWildcardIpSpace{ipWildcard=200.4.138.0/24}	sat	4051	62636	11632.0	11632.0	11632.0	11.631	11.631	11.631	513.0	GigabitEthernet0/0	6704.0	15306.0
sparta	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	sat	26881	246860	108214.0	108214.0	108214.0	108.213	108.213	108.213	919.0	GigabitEthernet0/0	6704.0	15306.0
savannah	spartanburg	IpWildcardIpSpace{ipWildcard=200.4.160.0/24}	sat	15222	148501	51024.0	51024.0	51024.0	51.023	51.023	51.023	1523.0	GigabitEthernet0/0	6704.0	15306.0
highttpoint	durham	IpWildcardIpSpace{ipWildcard=200.4.207.0/24}	sat	19258	186979	69283.0	69283.0	69283.0	69.282	69.282	69.282	525.0	GigabitEthernet0/0	6704.0	15306.0
mobile	rockyttmountid11	IpWildcardIpSpace{ipWildcard=200.4.226.0/24}	sat	20036	183755	77788.0	77788.0	77788.0	77.787	77.787	77.787	561.0	GigabitEthernet0/0	6704.0	15306.0
willacoochee	kingsport	IpWildcardIpSpace{ipWildcard=200.4.227.0/24}	sat	22237	221287	30774.0	30774.0	30774.0	30.774	30.774	30.774	342.0	GigabitEthernet0/0	6704.0	15306.0
